Entity Name,Fiscal Year,Total Revenues,Estimated Population,Revenues Per Capita
Adelanto,2019,20232000,35136,576
Adelanto,2018,18224861,35293,516
Adelanto,2017,15171753,34273,443
Adelanto,2016,14565863,33497,435
Adelanto,2015,14051611,33084,425
Adelanto,2014,13047272,32511,401
Adelanto,2013,11448926,31289,366
Adelanto,2012,13532422,31066,436
Adelanto,2011,13165265,31671,416
Adelanto,2010,53616428,28540,1879
Adelanto,2009,29104128,28265,1030
Adelanto,2008,29280121,28181,1039
Adelanto,2006,26349626,24880,1059
Adelanto,2005,20408343,23418,871
Adelanto,2004,17233486,21271,810
Agoura Hills,2019,25875221,20842,1241
Agoura Hills,2018,23623223,20878,1131
Agoura Hills,2017,24695869,21018,1175
Agoura Hills,2016,28100766,21211,1325
Agoura Hills,2015,23443915,20767,1129
Agoura Hills,2014,25485389,20625,1236
Agoura Hills,2013,16239870,20516,792
Agoura Hills,2012,15585529,20413,764
Agoura Hills,2011,16639271,20393,816
Agoura Hills,2010,15829384,23387,677
Agoura Hills,2009,18188712,23337,779
Agoura Hills,2008,18532560,23337,794
Agoura Hills,2007,21809043,23340,934
Agoura Hills,2006,18605145,23231,801
Agoura Hills,2005,17889207,23330,767
Agoura Hills,2004,16926864,22127,765
Agoura Hills,2003,16192116,21930,738
Alameda,2019,273566962,79316,3449
Alameda,2018,270194864,78863,3426
Alameda,2017,236492783,79928,2959
Alameda,2016,215187532,79277,2714
Alameda,2015,189001535,76638,2466
Alameda,2014,200341642,75988,2636
Alameda,2013,166123124,75126,2211
Alameda,2012,159052967,74640,2131
Alameda,2011,167723599,74081,2264
Alameda,2010,171255424,75409,2271
Alameda,2009,177799783,74683,2381
Alameda,2008,182807850,75823,2411
Alameda,2007,181933558,75254,2418
Alameda,2006,162447358,74405,2183
Alameda,2005,143214313,74581,1920
Alameda,2004,140981174,74409,1895
Alameda,2003,145006838,74940,1935
Albany,2019,35783631,19393,1845
Albany,2018,34885383,19053,1831
Albany,2017,31973269,18988,1684
Albany,2016,35120955,18893,1859
Albany,2015,28109961,18565,1514
Albany,2014,31830206,18472,1723
Albany,2013,26357373,18430,1430
Albany,2012,25817029,18488,1396
Albany,2011,26655984,18622,1431
Albany,2010,24924953,17021,1464
Albany,2009,31026068,16884,1838
Albany,2008,37288590,16877,2209
Albany,2007,24185642,16764,1443
Albany,2006,21189973,16680,1270
Albany,2005,27661773,16743,1652
Albany,2004,20049794,16722,1199
Albany,2003,25841727,16787,1539
Alhambra,2019,140401786,86931,1615
Alhambra,2018,134619551,86665,1553
Alhambra,2017,121313323,86922,1396
Alhambra,2016,115993675,86782,1337
Alhambra,2015,110050437,85545,1286
Alhambra,2014,116124032,84697,1371
Alhambra,2013,106093504,84240,1259
Alhambra,2012,106007275,83661,1267
Alhambra,2011,103579205,83450,1241
Alhambra,2010,100149101,89501,1119
Alhambra,2009,88409916,89171,991
Alhambra,2008,89281143,89259,1000
Alhambra,2007,93359535,89488,1043
Alhambra,2006,89951247,89326,1007
Alhambra,2005,78775115,90561,870
Alhambra,2004,73287761,89704,817
Alhambra,2003,69005097,88938,776
Aliso Viejo,2019,27777375,51372,541
Aliso Viejo,2018,25810063,51950,497
Aliso Viejo,2017,24218609,50312,481
Aliso Viejo,2016,20608025,50509,408
Aliso Viejo,2015,19534327,50204,389
Aliso Viejo,2014,19640451,49951,393
Aliso Viejo,2013,17969676,49477,363
Aliso Viejo,2012,19872172,48988,406
Aliso Viejo,2011,18784151,48320,389
Aliso Viejo,2010,17157509,46123,372
Aliso Viejo,2009,20341279,45683,445
Aliso Viejo,2008,46061908,45249,1018
Aliso Viejo,2007,28260521,45037,627
Aliso Viejo,2006,18113210,44924,403
Aliso Viejo,2005,13886962,45017,308
Aliso Viejo,2004,12876402,44833,287
Aliso Viejo,2003,13124035,43879,299
Alturas,2019,5008239,2755,1818
Alturas,2018,4388142,2868,1530
Alturas,2017,4963189,2660,1866
Alturas,2016,5761271,2684,2147
Alturas,2015,3868478,2723,1421
Alturas,2014,3219695,2668,1207
Alturas,2013,5295883,2754,1923
Alturas,2012,3787161,2774,1365
Alturas,2011,3503938,2822,1242
Alturas,2010,4150202,2798,1483
Alturas,2009,5123478,2782,1842
Alturas,2008,8186722,2804,2920
Alturas,2007,4191119,2827,1483
Alturas,2006,3166458,2866,1105
Alturas,2005,3142251,2838,1107
Alturas,2004,2719432,2840,958
Alturas,2003,4136651,2812,1471
Amador,2019,439732,188,2339
Amador,2018,446815,186,2402
Amador,2017,434256,193,2250
Amador,2016,349467,190,1839
Amador,2015,1091489,183,5964
Amador,2014,3228321,179,18035
Amador,2013,548177,182,3012
Amador,2012,356343,182,1958
Amador,2011,576130,186,3097
Amador,2010,516939,208,2485
Amador,2009,376597,209,1802
Amador,2008,844007,208,4058
Amador,2007,2406387,214,11245
Amador,2006,304938,213,1432
Amador,2005,532418,216,2465
Amador,2004,309261,208,1487
Amador,2003,352805,208,1696
American Canyon,2019,54602529,20629,2647
American Canyon,2018,47952991,20990,2285
American Canyon,2017,36832487,20570,1791
American Canyon,2016,39553539,20374,1941
American Canyon,2015,29380044,20149,1458
American Canyon,2014,30973086,20001,1549
American Canyon,2013,27147633,19862,1367
American Canyon,2012,25268500,19809,1276
American Canyon,2011,26566269,19693,1349
American Canyon,2010,25107147,16836,1491
American Canyon,2009,36977770,16503,2241
American Canyon,2008,32221842,16293,1978
American Canyon,2007,36361833,16031,2268
American Canyon,2006,29363917,14961,1963
American Canyon,2005,27777681,14306,1942
American Canyon,2004,26619151,13156,2023
American Canyon,2003,18777391,12331,1523
Anaheim,2019,1430347994,359339,3980
Anaheim,2018,1355873000,357084,3797
Anaheim,2017,1367106492,358546,3813
Anaheim,2016,1177907888,358136,3289
Anaheim,2015,1315642721,351433,3744
Anaheim,2014,1157749339,348305,3324
Anaheim,2013,1149222697,346161,3320
Anaheim,2012,1039290025,343793,3023
Anaheim,2011,1022757247,341034,2999
Anaheim,2010,964464291,353643,2727
Anaheim,2009,1030813496,348467,2958
Anaheim,2008,970882557,346823,2799
Anaheim,2007,1459750590,345556,4224
Anaheim,2006,912446740,342410,2665
Anaheim,2005,786546744,345317,2278
Anaheim,2004,811992019,343046,2367
Anaheim,2003,720600396,337440,2135
Anderson,2019,17716141,10431,1698
Anderson,2018,15261461,10263,1487
Anderson,2017,14323805,10450,1371
Anderson,2016,13138675,10485,1253
Anderson,2015,10517310,10269,1024
Anderson,2014,8951493,10361,864
Anderson,2013,9370337,10267,913
Anderson,2012,8678831,10195,851
Anderson,2011,11950254,10005,1194
Anderson,2010,9286969,10826,858
Anderson,2009,12093845,10765,1123
Anderson,2008,14332065,10579,1355
Anderson,2007,14035266,10594,1325
Anderson,2006,10826514,10677,1014
Anderson,2005,12034064,10441,1153
Anderson,2004,11247474,10071,1117
Anderson,2003,9884204,9508,1040
Angels,2019,9570378,3840,2492
Angels,2018,9465909,4121,2297
Angels,2017,8535688,4020,2123
Angels,2016,7653993,4045,1892
Angels,2015,7721584,3811,2026
Angels,2014,8122891,3726,2180
Angels,2013,7091758,3753,1890
Angels,2012,6823958,3752,1819
Angels,2011,9680684,3840,2521
Angels,2010,9538085,3549,2688
Angels,2009,8267156,3575,2312
Angels,2008,8632998,3593,2403
Angels,2007,9190225,3589,2561
Angels,2006,8648709,3576,2419
Angels,2005,12149452,3537,3435
Angels,2004,6853192,3441,1992
Angels,2003,7165974,3349,2140
Antioch,2019,139904451,113901,1228
Antioch,2018,124754598,113061,1103
Antioch,2017,110941164,114241,971
Antioch,2016,102456004,112968,907
Antioch,2015,99624766,108298,920
Antioch,2014,93753427,106455,881
Antioch,2013,85498803,105117,813
Antioch,2012,81542031,103833,785
Antioch,2011,88393027,103054,858
Antioch,2010,87370025,102330,854
Antioch,2009,88312928,100957,875
Antioch,2008,92965169,100361,926
Antioch,2007,90273353,100150,901
Antioch,2006,85533798,100945,847
Antioch,2005,95913917,101049,949
Antioch,2004,79030141,100590,786
Antioch,2003,74925701,99295,755
Apple Valley,2019,77300759,73464,1052
Apple Valley,2018,73162404,73984,989
Apple Valley,2017,64570805,74701,864
Apple Valley,2016,70259057,74656,941
Apple Valley,2015,62096416,71396,870
Apple Valley,2014,51780078,70755,732
Apple Valley,2013,45093774,70436,640
Apple Valley,2012,46153218,70033,659
Apple Valley,2011,46619458,69668,669
Apple Valley,2010,46010667,70040,657
Apple Valley,2009,45227373,69861,647
Apple Valley,2008,58297603,70092,832
Apple Valley,2007,48822444,70297,695
Apple Valley,2006,55232774,67507,818
Apple Valley,2005,40218691,63853,630
Apple Valley,2004,29224566,61330,477
Apple Valley,2003,30060786,58883,511
Arcadia,2019,92379793,58891,1569
Arcadia,2018,86226108,57704,1494
Arcadia,2017,91909205,57374,1602
Arcadia,2016,87719309,57050,1538
Arcadia,2015,85161512,57761,1474
Arcadia,2014,86877748,57500,1511
Arcadia,2013,84259716,56866,1482
Arcadia,2012,70248357,56546,1242
Arcadia,2011,77961172,56548,1379
Arcadia,2010,66802968,56719,1178
Arcadia,2009,70937383,56547,1254
Arcadia,2008,68539951,56491,1213
Arcadia,2007,67439445,56556,1192
Arcadia,2006,67146170,56145,1196
Arcadia,2005,56507711,56320,1003
Arcadia,2004,51459534,55867,921
Arcadia,2003,51404350,55531,926
Arcata,2019,39494307,18078,2185
Arcata,2018,36749530,18398,1997
Arcata,2017,33304728,18374,1813
Arcata,2016,37904466,18169,2086
Arcata,2015,32472356,17898,1814
Arcata,2014,26511782,17734,1495
Arcata,2013,25168667,17836,1411
Arcata,2012,29337998,17752,1653
Arcata,2011,30865701,17318,1782
Arcata,2010,25042182,17712,1414
Arcata,2009,22397521,17610,1272
Arcata,2008,22252117,17558,1267
Arcata,2007,26002252,17244,1508
Arcata,2006,16713640,17294,966
Arcata,2005,19110862,17289,1105
Arcata,2004,15310896,17111,895
Arcata,2003,19067907,16923,1127
Arroyo Grande,2019,28534684,17876,1596
Arroyo Grande,2018,28059501,17912,1567
Arroyo Grande,2017,26862056,17736,1515
Arroyo Grande,2016,24781267,17731,1398
Arroyo Grande,2015,26376423,17428,1513
Arroyo Grande,2014,25673179,17334,1481
Arroyo Grande,2013,23493854,17395,1351
Arroyo Grande,2012,23025356,17291,1332
Arroyo Grande,2011,25624501,17365,1476
Arroyo Grande,2010,21938609,17145,1280
Arroyo Grande,2009,21865693,17080,1280
Arroyo Grande,2008,24268109,17036,1425
Arroyo Grande,2007,20811478,16759,1242
Arroyo Grande,2006,19589460,16599,1180
Arroyo Grande,2005,19085145,16537,1154
Arroyo Grande,2004,17134671,16582,1033
Arroyo Grande,2003,19466389,16523,1178
Artesia,2019,12558247,16919,742
Artesia,2018,10536615,16792,627
Artesia,2017,11886365,16816,707
Artesia,2016,11856680,16883,702
Artesia,2015,11069748,16849,657
Artesia,2014,11044901,16776,658
Artesia,2013,9996513,16681,599
Artesia,2012,9060126,16594,546
Artesia,2011,8475327,16579,511
Artesia,2010,8062427,17608,458
Artesia,2009,8292375,17551,472
Artesia,2008,8856766,17552,505
Artesia,2007,9914839,17589,564
Artesia,2006,9449392,17496,540
Artesia,2005,9633566,17311,556
Artesia,2004,9055839,17199,527
Artesia,2003,8465981,17007,498
Arvin,2019,14412324,22178,650
Arvin,2018,14399526,21696,664
Arvin,2017,15405094,21157,728
Arvin,2016,9581719,20978,457
Arvin,2015,13254617,20113,659
Arvin,2014,10556542,20226,522
Arvin,2013,9457617,19960,474
Arvin,2012,9296384,19849,468
Arvin,2011,11168131,19596,570
Arvin,2010,8966766,16918,530
Arvin,2009,7669914,16675,460
Arvin,2008,7485901,16517,453
Arvin,2007,8030669,16138,498
Arvin,2006,6914459,15027,460
Arvin,2005,4397182,14966,294
Arvin,2004,3197363,14499,221
Arvin,2003,3452785,14034,246
Atascadero,2019,34447257,30405,1133
Atascadero,2018,33230113,31147,1067
Atascadero,2017,30430395,30900,985
Atascadero,2016,28754731,30879,931
Atascadero,2015,27649944,29169,948
Atascadero,2014,27284266,28675,952
Atascadero,2013,28298802,28687,986
Atascadero,2012,28819599,28477,1012
Atascadero,2011,48757243,28662,1701
Atascadero,2010,21357648,28560,748
Atascadero,2009,22901493,28438,805
Atascadero,2008,28278699,28590,989
Atascadero,2007,32405162,27778,1167
Atascadero,2006,27609875,27658,998
Atascadero,2005,21948348,27596,795
Atascadero,2004,18484113,27691,668
Atascadero,2003,20365816,27404,743
Atherton,2019,25538688,7070,3612
Atherton,2018,23308996,7135,3267
Atherton,2017,21835634,7148,3055
Atherton,2016,19983004,7150,2795
Atherton,2015,18906240,6935,2726
Atherton,2014,15425126,6917,2230
Atherton,2013,14286078,6893,2073
Atherton,2012,14131629,6888,2052
Atherton,2011,14956638,6917,2162
Atherton,2010,13706319,7554,1814
Atherton,2009,13782006,7468,1845
Atherton,2008,14980796,7475,2004
Atherton,2007,13279757,7423,1789
Atherton,2006,12799361,7262,1763
Atherton,2005,11414784,7256,1573
Atherton,2004,10189390,7176,1420
Atherton,2003,10537116,7214,1461
Atwater,2019,44212888,31470,1405
Atwater,2018,44071184,31235,1411
Atwater,2017,40059989,30406,1318
Atwater,2016,35413064,30061,1178
Atwater,2015,34292060,29023,1182
Atwater,2014,33237333,29050,1144
Atwater,2013,28859335,28931,998
Atwater,2012,25861103,28568,905
Atwater,2011,92075660,28377,3245
Atwater,2010,28786949,27755,1037
Atwater,2009,29441754,27369,1076
Atwater,2008,28619676,27571,1038
Atwater,2007,23951380,27618,867
Atwater,2006,27273965,27307,999
Atwater,2005,25165001,26693,943
Atwater,2004,18991865,26376,720
Atwater,2003,19055174,26016,732
Auburn,2019,26349423,14392,1831
Auburn,2018,21979320,14611,1504
Auburn,2017,21748705,14096,1543
Auburn,2016,20056077,14070,1425
Auburn,2015,19828730,13818,1435
Auburn,2014,18101424,13804,1311
Auburn,2013,18906163,13446,1406
Auburn,2012,15340209,13468,1139
Auburn,2011,15932065,13410,1188
Auburn,2010,24345619,13578,1793
Auburn,2009,17476093,13432,1301
Auburn,2008,18034874,13273,1359
Auburn,2007,19208107,13112,1465
Auburn,2006,21687305,12975,1671
Auburn,2005,14866565,12849,1157
Auburn,2004,15846608,12634,1254
Auburn,2003,17759329,12235,1452
Avalon,2019,32573628,3845,8472
Avalon,2018,24946705,3867,6451
Avalon,2017,28266950,3718,7603
Avalon,2016,23042807,3678,6265
Avalon,2015,22316257,3840,5812
Avalon,2014,21542096,3820,5639
Avalon,2013,18437109,3797,4856
Avalon,2012,16760248,3780,4434
Avalon,2011,16229819,3771,4304
Avalon,2010,15455860,3559,4343
Avalon,2009,15246514,3540,4307
Avalon,2008,15350397,3532,4346
Avalon,2007,15259423,3521,4334
Avalon,2006,16199958,3488,4644
Avalon,2005,14541759,3508,4145
Avalon,2004,12352432,3497,3532
Avalon,2003,13194224,3317,3978
Avenal,2019,15664666,13823,1133
Avenal,2018,10747906,13053,823
Avenal,2017,10944583,12491,876
Avenal,2016,14546288,12373,1176
Avenal,2015,9517673,13159,723
Avenal,2014,11431086,13239,863
Avenal,2013,12025026,14225,845
Avenal,2012,12500591,14885,840
Avenal,2011,12457788,15094,825
Avenal,2010,10748851,16236,662
Avenal,2009,12566857,15871,792
Avenal,2008,11506097,16609,693
Avenal,2007,14961865,16737,894
Avenal,2006,9172398,16349,561
Avenal,2005,8529293,16187,527
Avenal,2004,8069094,16205,498
Avenal,2003,8666015,15334,565
Azusa,2019,139347352,51313,2716
Azusa,2018,128414458,49954,2571
Azusa,2017,129682180,49762,2606
Azusa,2016,116728161,49485,2359
Azusa,2015,109643548,49425,2218
Azusa,2014,111749930,48385,2310
Azusa,2013,109378055,47586,2299
Azusa,2012,99968489,46618,2144
Azusa,2011,101832239,46399,2195
Azusa,2010,100144331,49207,2035
Azusa,2009,98611343,48932,2015
Azusa,2008,91676007,48743,1881
Azusa,2007,152390243,48640,3133
Azusa,2006,93192301,48302,1929
Azusa,2005,86195159,48520,1776
Azusa,2004,83348016,48166,1730
Azusa,2003,78908819,47165,1673
Bakersfield,2019,543165970,389211,1396
Bakersfield,2018,555678409,386839,1436
Bakersfield,2017,496984226,383512,1296
Bakersfield,2016,492445981,379110,1299
Bakersfield,2015,466660160,369505,1263
Bakersfield,2014,470699711,367315,1281
Bakersfield,2013,413168398,359221,1150
Bakersfield,2012,394888691,354480,1114
Bakersfield,2011,382139943,351443,1087
Bakersfield,2010,386489109,338952,1140
Bakersfield,2009,397826681,333719,1192
Bakersfield,2008,627097202,328692,1908
Bakersfield,2007,409999320,323213,1269
Bakersfield,2006,324073564,311824,1039
Bakersfield,2005,288055571,295893,974
Bakersfield,2004,246716004,279672,882
Bakersfield,2003,227494654,266784,853
Baldwin Park,2019,61365155,77286,794
Baldwin Park,2018,57684011,76708,752
Baldwin Park,2017,52051944,75537,689
Baldwin Park,2016,44375132,74738,594
Baldwin Park,2015,46550561,77047,604
Baldwin Park,2014,45656331,76715,595
Baldwin Park,2013,46119234,76315,604
Baldwin Park,2012,43118331,75830,569
Baldwin Park,2011,46039331,75664,608
Baldwin Park,2010,47246453,81604,579
Baldwin Park,2009,49668230,81445,610
Baldwin Park,2008,45625882,81281,561
Baldwin Park,2007,49870803,81146,615
Baldwin Park,2006,33361431,80986,412
Baldwin Park,2005,40148179,81226,494
Baldwin Park,2004,28483414,80332,355
Baldwin Park,2003,33179453,79573,417
Banning,2019,80260834,31044,2585
Banning,2018,75445363,31282,2412
Banning,2017,64366157,31068,2072
Banning,2016,54368891,30834,1763
Banning,2015,52528836,30491,1723
Banning,2014,52208711,30325,1722
Banning,2013,51274072,30170,1700
Banning,2012,62155224,29965,2074
Banning,2011,60785178,29844,2037
Banning,2010,58069632,28751,2020
Banning,2009,63379039,28457,2227
Banning,2008,111304179,28348,3926
Banning,2007,62785190,28272,2221
Banning,2006,74224758,28128,2639
Banning,2005,53522438,27954,1915
Banning,2004,50718825,27192,1865
Banning,2003,52693041,25504,2066
Barstow,2019,39362628,24150,1630
Barstow,2018,37320529,24411,1529
Barstow,2017,29638116,24248,1222
Barstow,2016,34050847,24360,1398
Barstow,2015,38485892,23407,1644
Barstow,2014,38145783,23292,1638
Barstow,2013,42009014,23168,1813
Barstow,2012,24068945,23019,1046
Barstow,2011,40226603,22839,1761
Barstow,2010,30008890,24281,1236
Barstow,2009,32173515,24213,1329
Barstow,2008,33271914,23952,1389
Barstow,2007,34207483,23943,1429
Barstow,2006,29945301,23599,1269
Barstow,2005,27237608,23546,1157
Barstow,2004,23247194,23208,1002
Barstow,2003,23298241,22980,1014
Beaumont,2019,74407907,48401,1537
Beaumont,2018,83393820,48237,1729
Beaumont,2017,53685354,46179,1163
Beaumont,2016,42397643,45118,940
Beaumont,2015,58983018,42481,1388
Beaumont,2014,35530592,40876,869
Beaumont,2013,54706184,39776,1375
Beaumont,2012,55386628,38851,1426
Beaumont,2011,66775135,38195,1748
Beaumont,2010,45014405,34217,1316
Beaumont,2009,67875595,32403,2095
Beaumont,2008,48680530,31477,1547
Beaumont,2005,37992261,18982,2001
Beaumont,2004,40884497,16343,2502
Beaumont,2003,43687577,13783,3170
Bell,2019,30157132,36556,825
Bell,2018,28203203,36325,776
Bell,2017,28837693,36408,792
Bell,2016,27897913,36716,760
Bell,2015,26480069,36135,733
Bell,2014,79294017,35972,2204
Bell,2013,22909394,35783,640
Bell,2012,22086722,35607,620
Bell,2011,23651076,35577,665
Bell,2010,27267323,38867,702
Bell,2009,26811038,38759,692
Bell,2008,96373313,38762,2486
Bell,2007,49862253,38982,1279
Bell,2006,31862785,38821,821
Bell,2005,39883288,38961,1024
Bell,2004,20218999,38656,523
Bell,2003,18782885,38233,491
Bell Gardens,2019,43820312,42972,1020
Bell Gardens,2018,39875671,43051,926
Bell Gardens,2017,43537025,42824,1017
Bell Gardens,2016,36894135,42952,859
Bell Gardens,2015,33834687,42875,789
Bell Gardens,2014,33111065,42667,776
Bell Gardens,2013,33227614,42437,783
Bell Gardens,2012,32534391,42231,770
Bell Gardens,2011,35507141,42188,842
Bell Gardens,2010,33624374,47002,715
Bell Gardens,2009,33429096,46786,715
Bell Gardens,2008,29541854,46766,632
Bell Gardens,2007,28720504,46760,614
Bell Gardens,2006,33520422,46044,728
Bell Gardens,2005,28796602,46310,622
Bell Gardens,2004,22931826,45931,499
Bell Gardens,2003,24960572,45769,545
Bellflower,2019,50481570,78308,645
Bellflower,2018,53769045,77682,692
Bellflower,2017,39931223,76657,521
Bellflower,2016,47073522,76363,616
Bellflower,2015,41831620,78106,536
Bellflower,2014,40277886,77741,518
Bellflower,2013,38773208,77289,502
Bellflower,2012,37500326,76907,488
Bellflower,2011,34817232,76840,453
Bellflower,2010,34089697,77312,441
Bellflower,2009,33152253,77194,429
Bellflower,2008,36863222,77110,478
Bellflower,2007,33795496,77189,438
Bellflower,2006,31768412,77039,412
Bellflower,2005,30984161,77513,400
Bellflower,2004,33576629,77002,436
Bellflower,2003,27185310,76428,356
Belmont,2019,79003888,27174,2907
Belmont,2018,74220229,27388,2710
Belmont,2017,60802922,27594,2203
Belmont,2016,70116357,27834,2519
Belmont,2015,42131371,26748,1575
Belmont,2014,32559647,26559,1226
Belmont,2013,35395782,26316,1345
Belmont,2012,35488549,26123,1359
Belmont,2011,39324830,26031,1511
Belmont,2010,31806667,26507,1200
Belmont,2009,26701683,26250,1017
Belmont,2008,27426436,26078,1052
Belmont,2007,26868665,25897,1038
Belmont,2006,32790261,25648,1278
Belmont,2005,23660034,25470,929
Belmont,2004,34462649,25107,1373
Belmont,2003,21753111,25397,857
Belvedere,2019,8541989,2148,3977
Belvedere,2018,9348886,2135,4379
Belvedere,2017,7746786,2172,3567
Belvedere,2016,7222970,2162,3341
Belvedere,2015,6875043,2121,3241
Belvedere,2014,6554189,2094,3130
Belvedere,2013,6459018,2086,3096
Belvedere,2012,6276292,2090,3003
Belvedere,2011,5671660,2083,2723
Belvedere,2010,6236440,2175,2867
Belvedere,2009,5877213,2158,2723
Belvedere,2008,6279797,2161,2906
Belvedere,2007,5729531,2149,2666
Belvedere,2006,5564274,2136,2605
Belvedere,2005,5953414,2132,2792
Belvedere,2004,5677923,2129,2667
Belvedere,2003,5386670,2137,2521
Benicia,2019,78183381,27570,2836
Benicia,2018,75072010,27499,2730
Benicia,2017,67015867,27695,2420
Benicia,2016,62227307,27501,2263
Benicia,2015,58616440,27689,2117
Benicia,2014,52688444,27454,1919
Benicia,2013,49338308,27163,1816
Benicia,2012,56291512,26919,2091
Benicia,2011,66214033,27118,2442
Benicia,2010,52741010,28086,1878
Benicia,2009,54045697,27977,1932
Benicia,2008,56383248,27978,2015
Benicia,2007,59917185,27916,2146
Benicia,2006,70382871,27319,2576
Benicia,2005,60585790,27323,2217
Benicia,2004,44482027,26990,1648
Benicia,2003,40350362,27035,1493
Berkeley,2019,485642597,123328,3938
Berkeley,2018,438978704,121874,3602
Berkeley,2017,407565469,121238,3362
Berkeley,2016,400105232,119915,3337
Berkeley,2015,329352291,118780,2773
Berkeley,2014,337856372,117372,2879
Berkeley,2013,296093704,115716,2559
Berkeley,2012,289316516,114821,2520
Berkeley,2011,313302990,114046,2747
Berkeley,2010,302932021,108119,2802
Berkeley,2009,300131042,107178,2800
Berkeley,2008,289228401,106697,2711
Berkeley,2007,294733262,106347,2771
Berkeley,2006,289129278,105385,2744
Berkeley,2005,271660764,104534,2599
Berkeley,2004,258475425,104279,2479
Berkeley,2003,240073043,104558,2296
Beverly Hills,2019,562503546,34627,16245
Beverly Hills,2018,520203586,34504,15077
Beverly Hills,2017,460888375,34646,13303
Beverly Hills,2016,334544323,34763,9624
Beverly Hills,2015,330402174,34833,9485
Beverly Hills,2014,294527122,34677,8493
Beverly Hills,2013,287245958,34494,8327
Beverly Hills,2012,273426217,34291,7974
Beverly Hills,2011,264514752,34210,7732
Beverly Hills,2010,267936227,36224,7397
Beverly Hills,2009,237436244,36090,6579
Beverly Hills,2008,266771245,35983,7414
Beverly Hills,2007,307589375,36084,8524
Beverly Hills,2006,205734891,35813,5745
Beverly Hills,2005,183983569,35969,5115
Beverly Hills,2004,182028186,35701,5099
Beverly Hills,2003,163509343,35350,4625
Big Bear Lake,2019,45594793,5461,8349
Big Bear Lake,2018,46123659,5512,8368
Big Bear Lake,2017,37188521,5047,7368
Big Bear Lake,2016,35977958,4905,7335
Big Bear Lake,2015,37128524,5165,7188
Big Bear Lake,2014,35539228,5121,6940
Big Bear Lake,2013,40581363,5111,7940
Big Bear Lake,2012,33414378,5088,6567
Big Bear Lake,2011,33140596,5051,6561
Big Bear Lake,2010,29588878,6278,4713
Big Bear Lake,2009,27731444,6255,4433
Big Bear Lake,2008,29075360,6256,4648
Big Bear Lake,2007,30349233,6207,4890
Big Bear Lake,2006,29051599,6182,4699
Big Bear Lake,2005,28359349,6148,4613
Big Bear Lake,2004,25290037,6028,4195
Big Bear Lake,2003,24647377,5872,4197
Biggs,2019,5776280,2066,2796
Biggs,2018,5547803,1913,2900
Biggs,2017,5655152,1905,2969
Biggs,2016,6117534,1899,3221
Biggs,2015,6516144,1746,3732
Biggs,2014,5510428,1684,3272
Biggs,2013,4178956,1692,2470
Biggs,2012,4610099,1696,2718
Biggs,2011,4323029,1714,2522
Biggs,2010,5381907,1787,3012
Biggs,2009,4850766,1777,2730
Biggs,2008,7365564,1776,4147
Biggs,2007,7023762,1769,3970
Biggs,2006,3752287,1780,2108
Biggs,2005,3382553,1788,1892
Biggs,2004,2859054,1805,1584
Biggs,2003,2171538,1809,1200
Bishop,2019,11122736,3899,2853
Bishop,2018,10317453,3922,2631
Bishop,2017,10000299,3954,2529
Bishop,2016,9548325,3971,2405
Bishop,2015,9252620,3881,2384
Bishop,2014,10178719,3875,2627
Bishop,2013,8805969,3877,2271
Bishop,2012,8653123,3858,2243
Bishop,2011,9968009,3893,2560
Bishop,2010,8799332,3543,2484
Bishop,2009,9431931,3536,2667
Bishop,2008,11423762,3551,3217
Bishop,2007,11213511,3585,3128
Bishop,2006,7766655,3616,2148
Bishop,2005,7221359,3643,1982
Bishop,2004,6021903,3632,1658
Bishop,2003,5593095,3617,1546
Blue Lake,2019,2308576,1243,1857
Blue Lake,2018,2254460,1280,1761
Blue Lake,2017,2182240,1295,1685
Blue Lake,2016,2251575,1287,1749
Blue Lake,2015,2879603,1260,2285
Blue Lake,2014,2831932,1251,2264
Blue Lake,2013,2167591,1260,1720
Blue Lake,2012,2017238,1255,1607
Blue Lake,2011,2482759,1265,1963
Blue Lake,2010,2099527,1170,1794
Blue Lake,2009,3507663,1169,3001
Blue Lake,2008,1695402,1166,1454
Blue Lake,2007,2188757,1152,1900
Blue Lake,2006,1693457,1170,1447
Blue Lake,2005,1702644,1178,1445
Blue Lake,2004,1593817,1171,1361
Blue Lake,2003,1356936,1160,1170
Blythe,2019,18024910,19428,928
Blythe,2018,18104166,19389,934
Blythe,2017,19215281,19660,977
Blythe,2016,24759096,19813,1250
Blythe,2015,19337626,18909,1023
Blythe,2014,18915994,18992,996
Blythe,2013,19565261,19606,998
Blythe,2012,20210495,20400,991
Blythe,2011,17919671,20158,889
Blythe,2010,17829787,21812,817
Blythe,2009,20943842,21329,982
Blythe,2008,20257757,21695,934
Blythe,2007,25793831,22625,1140
Blythe,2006,29722320,22179,1340
Blythe,2005,20554933,22005,934
Blythe,2004,16336875,21970,744
Blythe,2003,15770694,21211,744
Bradbury,2019,1840507,1077,1709
Bradbury,2018,2149032,1069,2010
Bradbury,2017,2248722,1107,2031
Bradbury,2016,2340336,1123,2084
Bradbury,2015,1843017,1087,1696
Bradbury,2014,1668331,1082,1542
Bradbury,2013,1341470,1074,1249
Bradbury,2012,968543,1065,909
Bradbury,2011,1276231,1059,1205
Bradbury,2010,1502435,963,1560
Bradbury,2009,1771593,953,1859
Bradbury,2008,1187047,948,1252
