Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.01.16.01,888,356,221,207,1147,0,0,2819,2262,7694,7038,1498
2019.01.16.02,888,355,221,213,1168,0,0,2845,2262,7382,6439,1510
2019.01.16.03,888,358,221,207,1298,0,0,2084,2262,7873,6220,1473
2019.01.16.04,887,363,221,243,1431,0,0,3145,2263,6929,5939,1538
2019.01.16.05,887,365,219,216,1667,0,0,3354,2263,6648,6231,1645
2019.01.16.06,887,368,219,207,1841,0,0,3522,2264,7195,6715,1846
2019.01.16.07,885,367,219,217,1683,0,0,3371,2264,8889,7421,2193
2019.01.16.08,884,366,218,255,1246,575,0,3544,2264,9492,8019,2400
2019.01.16.09,882,365,214,261,982,2807,0,5511,2263,9104,7118,1627
2019.01.16.10,881,365,209,228,1185,3759,0,6627,2263,8177,6679,1544
2019.01.16.11,881,364,209,225,1394,4320,0,7393,2263,8296,5827,1494
2019.01.16.12,881,352,209,241,1248,4628,0,7559,2262,7935,6100,1448
2019.01.16.13,881,352,213,268,1301,4477,0,7492,2262,7838,6369,1450
2019.01.16.14,879,359,216,274,1497,4189,0,7414,2263,7901,6693,1455
2019.01.16.15,873,365,218,305,1898,3606,0,7265,2263,8258,6601,1467
2019.01.16.16,860,362,218,339,2135,2148,0,6062,2263,8741,7216,1757
2019.01.16.17,875,366,218,368,2125,432,0,4384,2262,10257,7628,2348
2019.01.16.18,873,361,218,419,1821,0,0,3692,2263,11485,8358,2795
2019.01.16.19,872,352,218,423,1751,0,0,3616,2263,11189,8874,2787
2019.01.16.20,871,347,221,428,1708,0,0,3575,2263,10688,9057,2627
2019.01.16.21,870,326,221,338,1545,0,0,3300,2263,10240,9163,2292
2019.01.16.22,873,298,221,300,1573,0,0,3265,2263,9741,8544,1911
2019.01.16.23,876,308,220,284,1762,0,0,3450,2263,8711,7640,1576
2019.01.16.24,880,316,220,295,1764,0,0,3475,2262,7541,7068,1491
