Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.02.08.01,958,335,234,337,167,0,0,2031,2198,9030,6092,2636
2019.02.08.02,958,338,238,379,140,0,0,2053,2198,8853,5824,2534
2019.02.08.03,958,325,238,358,81,0,0,1002,2197,9686,5906,2412
2019.02.08.04,958,324,238,360,97,0,0,1977,2197,8707,5809,2526
2019.02.08.05,958,327,238,343,70,0,0,1936,2196,9471,5885,2439
2019.02.08.06,958,325,232,389,55,0,0,1959,2197,11166,5721,2541
2019.02.08.07,957,324,237,429,61,40,0,2048,2197,12838,6102,3016
2019.02.08.08,956,338,238,418,73,2411,27,4461,2197,11644,5575,2926
2019.02.08.09,957,345,237,325,92,7016,169,9141,2198,8006,4420,2290
2019.02.08.10,955,341,237,300,112,8736,285,10966,2198,6067,3928,2136
2019.02.08.11,954,340,237,243,132,8813,340,11059,2198,5362,3554,2021
2019.02.08.12,954,313,235,241,125,8709,336,10913,2197,5239,3205,1973
2019.02.08.13,956,328,236,236,221,8593,330,10900,2197,5181,3034,1969
2019.02.08.14,957,339,236,241,330,8394,331,10828,2196,5416,3058,2028
2019.02.08.15,961,338,235,236,427,7771,336,10304,2196,5539,3456,1995
2019.02.08.16,975,342,232,280,524,6158,301,8812,2195,6525,4226,2355
2019.02.08.17,998,346,236,437,503,2448,142,5110,2194,8766,5859,3155
2019.02.08.18,1000,345,238,507,524,107,0,2721,2193,11232,6844,3837
2019.02.08.19,999,344,238,510,562,0,0,2653,2192,11920,7361,3771
2019.02.08.20,994,344,238,511,562,0,0,2649,2191,11711,7444,3521
2019.02.08.21,998,342,238,449,659,0,0,2686,2191,10865,7850,3342
2019.02.08.22,1001,350,238,414,725,0,0,2728,2192,10008,8173,2751
2019.02.08.23,1005,348,237,410,700,0,0,2700,2189,9256,7560,2699
2019.02.08.24,1005,345,240,322,630,0,0,2542,2188,8426,7263,2409
