Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.03.04.01,977,225,201,154,573,0,6,2103,2267,7775,8298,827
2020.03.04.02,977,225,201,148,596,0,6,2122,2267,7403,7988,814
2020.03.04.03,978,225,201,113,643,0,6,2133,2267,7121,7942,779
2020.03.04.04,978,226,201,149,702,0,4,2227,2267,6959,7858,798
2020.03.04.05,978,226,201,154,742,0,4,2273,2266,7414,7814,849
2020.03.04.06,979,230,198,169,690,0,2,2237,2265,7889,8404,1419
2020.03.04.07,981,241,190,155,606,687,1,2861,2265,8445,9087,1688
2020.03.04.08,980,243,188,136,497,4994,153,7192,2265,6482,7263,1447
2020.03.04.09,979,243,185,130,483,8670,278,10968,2263,4117,5551,689
2020.03.04.10,976,239,182,131,386,9923,360,12197,2262,3693,4009,543
2020.03.04.11,972,257,183,131,314,10315,370,12542,2262,3492,3770,292
2020.03.04.12,969,255,184,131,206,10397,372,12514,2261,3307,3472,382
2020.03.04.13,967,254,185,133,95,10451,379,12464,2261,3778,3215,356
2020.03.04.14,965,251,186,131,20,10427,380,12361,2261,4020,3559,412
2020.03.04.15,962,257,185,130,6,10095,377,12013,2262,4318,3895,617
2020.03.04.16,962,264,187,132,5,8878,345,10772,2263,5242,4860,779
2020.03.04.17,965,272,187,144,69,5036,214,6887,2261,7969,6478,1436
2020.03.04.18,966,273,194,157,372,692,26,2681,2260,10336,8783,2422
2020.03.04.19,969,276,196,217,618,3,11,2291,2261,11309,9456,2674
2020.03.04.20,972,276,198,207,804,3,11,2472,2261,10778,9648,2490
2020.03.04.21,974,274,198,179,777,2,12,2416,2261,10720,9045,2336
2020.03.04.22,976,275,198,178,659,2,12,2298,2259,10260,8922,1743
2020.03.04.23,977,245,198,157,734,1,11,2324,2260,9202,8542,1351
2020.03.04.24,979,237,198,158,1028,1,12,2612,2261,8449,7901,943
