Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.08.03.01,962,414,239,470,2900,0,0,4985,2272,9544,7019,3485
2019.08.03.02,963,414,240,469,2843,0,0,4929,2272,8286,6823,3277
2019.08.03.03,967,407,238,468,2840,0,0,3953,2272,8050,6897,3161
2019.08.03.04,970,412,238,462,2636,0,0,4718,2272,6751,6843,2952
2019.08.03.05,969,409,238,425,2335,0,0,4376,2271,6839,6859,2917
2019.08.03.06,967,410,231,461,2086,0,0,4155,2271,6878,6968,3138
2019.08.03.07,965,406,233,500,1741,414,0,4259,2271,7112,6847,3048
2019.08.03.08,963,410,238,448,1273,3490,37,6859,2271,6159,6053,2678
2019.08.03.09,959,411,237,456,844,7578,203,10688,2271,5395,3929,2596
2019.08.03.10,956,412,235,446,549,9247,321,12166,2269,5500,3446,2576
2019.08.03.11,954,412,232,483,474,9904,411,12870,2268,5962,3283,2678
2019.08.03.12,951,412,235,492,454,10269,420,13233,2269,6977,2930,2848
2019.08.03.13,947,411,235,499,297,10376,445,13210,2269,8075,3341,3040
2019.08.03.14,946,409,226,511,353,10130,441,13016,2270,9494,3531,3562
2019.08.03.15,945,408,217,482,523,9454,434,12463,2269,11035,3655,4258
2019.08.03.16,948,410,233,513,1021,9274,447,12846,2270,12333,3713,4258
2019.08.03.17,948,410,233,529,1636,8476,432,12664,2270,13427,3854,4381
2019.08.03.18,945,410,233,593,1987,7028,347,11543,2269,14216,4828,4666
2019.08.03.19,947,411,233,597,2181,3605,237,8211,2267,15617,6727,4790
2019.08.03.20,949,407,234,581,2304,536,5,5016,2267,16415,7837,5041
2019.08.03.21,951,399,235,559,2454,0,0,4598,2266,15503,8328,4907
2019.08.03.22,956,399,238,515,2573,0,0,4681,2267,14971,7217,4725
2019.08.03.23,961,399,236,500,2730,0,0,4826,2268,13111,6886,4138
2019.08.03.24,965,408,238,496,2707,0,0,4814,2268,10915,6951,3804
