Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.09.01.01,982,406,238,301,4101,0,0,6028,2265,6044,8770,2475
2018.09.01.02,984,406,239,302,4317,0,0,6248,2266,4821,8565,2270
2018.09.01.03,983,406,240,305,4324,0,0,5303,2265,5425,7933,2246
2018.09.01.04,983,407,237,303,4132,0,0,6062,2265,4247,7770,2201
2018.09.01.05,983,406,238,303,3973,0,0,5903,2265,4425,7597,2214
2018.09.01.06,980,406,238,306,3529,0,0,5459,2266,4695,7873,2416
2018.09.01.07,980,410,238,303,3509,172,0,5612,2267,4502,8264,2503
2018.09.01.08,980,412,238,294,3345,2782,114,8165,2268,3789,7031,2357
2018.09.01.09,975,411,239,265,2609,6730,151,11380,2268,3801,5158,2163
2018.09.01.10,971,411,238,265,1746,8607,196,12434,2268,3723,4518,2117
2018.09.01.11,971,388,238,295,1522,9400,277,13091,2267,3523,4332,2098
2018.09.01.12,967,399,235,302,1124,9616,446,13089,2269,3901,4186,2106
2018.09.01.13,965,408,235,300,900,9566,536,12910,2270,4229,4829,2083
2018.09.01.14,963,410,237,301,958,9594,576,13039,2270,4926,5078,2215
2018.09.01.15,961,410,239,297,1714,9439,574,13634,2270,5868,4547,2272
2018.09.01.16,960,393,237,354,2741,9083,451,14219,2271,6475,4682,2469
2018.09.01.17,960,385,235,431,3317,8103,454,13885,2270,7399,5311,2690
2018.09.01.18,960,394,235,520,3705,5872,431,12117,2267,8455,6328,3194
2018.09.01.19,961,411,236,570,3789,1819,102,7888,2267,10191,8390,3559
2018.09.01.20,964,411,239,576,3961,78,0,6229,2268,10444,9262,3832
2018.09.01.21,969,410,239,571,4014,0,0,6203,2268,9572,9819,3689
2018.09.01.22,976,408,239,407,4116,0,0,6146,2268,8670,9522,3420
2018.09.01.23,975,405,238,380,3988,0,0,5986,2268,8337,8561,2896
2018.09.01.24,975,405,239,296,3775,0,0,5690,2268,7367,8293,2640
