Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2021.02.23.01,1007,354,225,134,374,0,0,2056,1148,9810,6819,580
2021.02.23.02,1008,354,225,134,373,0,0,2058,1148,9437,6592,553
2021.02.23.03,1010,353,222,134,477,0,0,2150,1148,8857,6703,551
2021.02.23.04,1010,357,222,133,818,0,0,2471,1148,8651,6538,551
2021.02.23.05,1010,358,222,134,1270,0,0,2958,1148,8718,6338,640
2021.02.23.06,1010,356,220,139,1123,0,0,2806,1148,10051,6574,701
2021.02.23.07,1011,354,221,183,1187,292,0,3157,1148,10633,7099,1127
2021.02.23.08,1012,351,224,183,1597,4389,66,7538,1148,8925,5625,662
2021.02.23.09,1010,349,224,175,1648,9067,161,12463,1148,6298,3580,267
2021.02.23.10,1011,348,224,133,1663,10446,223,14013,1148,4553,3045,-126
2021.02.23.11,1009,350,221,90,1698,10805,242,14418,1148,4206,2151,-123
2021.02.23.12,1008,349,221,92,1700,10538,200,14126,1148,3889,2165,-183
2021.02.23.13,1008,351,221,100,1601,10260,151,13693,1148,3868,2323,-162
2021.02.23.14,1008,347,223,109,1508,10416,160,13790,1147,4005,2202,-143
2021.02.23.15,1007,349,222,108,1480,10095,202,13503,1147,4382,2573,-176
2021.02.23.16,1008,350,223,147,1476,9047,170,12497,1147,5094,3419,-38
2021.02.23.17,1008,352,224,166,1602,4794,92,8538,1148,6945,5655,882
2021.02.23.18,1008,355,225,212,1736,455,0,4074,1148,10070,7939,1786
2021.02.23.19,1008,353,225,213,2117,0,0,3884,1148,10971,8196,2139
2021.02.23.20,1008,353,226,213,2020,0,0,3764,1148,10659,8489,1901
2021.02.23.21,1009,353,226,198,2096,0,0,3865,1148,10162,8197,1540
2021.02.23.22,1011,354,226,155,1626,0,0,3364,1147,9896,8236,1151
2021.02.23.23,1012,351,226,147,1479,0,0,3174,1147,9701,7563,871
2021.02.23.24,1012,351,225,136,1903,0,0,3557,1147,8535,7182,738
