Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.01.29.01,942,324,223,281,54,0,0,1824,2256,8603,6388,1706
2019.01.29.02,942,289,226,283,22,0,0,1762,2256,8385,6168,1632
2019.01.29.03,943,279,226,283,20,0,0,808,2257,9346,5835,1639
2019.01.29.04,943,280,226,282,39,0,0,1770,2257,8415,5730,1662
2019.01.29.05,943,298,226,283,43,0,0,1793,2256,8559,5536,1802
2019.01.29.06,942,326,226,271,71,0,0,1836,2256,8841,6283,2149
2019.01.29.07,942,329,226,285,114,0,0,1896,2256,9300,7583,2511
2019.01.29.08,938,333,225,322,313,555,0,2686,2258,9781,7627,2510
2019.01.29.09,933,332,220,359,402,3066,0,5312,2260,8372,6585,2265
2019.01.29.10,932,332,220,291,359,4568,0,6702,2260,7873,5652,1861
2019.01.29.11,932,325,221,289,438,5510,0,7715,2260,7274,4678,1762
2019.01.29.12,929,317,221,292,524,6083,0,8366,2259,6504,4375,1737
2019.01.29.13,928,325,223,295,645,5333,0,7749,2259,6514,4518,1752
2019.01.29.14,925,323,223,296,880,4187,54,6888,2258,7182,4856,1813
2019.01.29.15,923,321,225,298,1090,3929,49,6835,2260,7272,5038,1822
2019.01.29.16,921,322,227,333,587,2872,11,5273,2260,8464,5977,1946
2019.01.29.17,924,327,226,342,312,1055,0,3186,2260,9946,7031,2274
2019.01.29.18,927,330,229,428,340,28,0,2282,2262,11182,7978,2970
2019.01.29.19,930,330,229,430,269,0,0,2188,2263,11347,8562,3148
2019.01.29.20,932,332,228,400,513,0,0,2405,2262,11225,8313,2761
2019.01.29.21,933,329,227,339,520,0,0,2348,2261,10431,8496,2647
2019.01.29.22,933,333,230,333,467,0,0,2296,2262,9827,8112,2214
2019.01.29.23,934,342,230,299,459,0,0,2264,2263,9084,7364,1960
2019.01.29.24,935,342,230,284,465,0,0,2256,2264,8419,6443,1879
