Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.04.10.01,920,275,220,204,1086,0,0,2668,2265,7132,6866,1095
2020.04.10.02,920,275,220,204,1150,0,0,2732,2264,7216,6115,991
2020.04.10.03,921,279,221,204,1154,0,0,2740,2264,7067,5903,843
2020.04.10.04,920,278,222,204,1125,0,0,2709,2263,6949,5870,828
2020.04.10.05,920,268,222,203,1140,0,0,2712,2262,7224,5793,883
2020.04.10.06,921,272,221,217,1037,0,0,2628,2262,7249,6499,1123
2020.04.10.07,921,273,214,228,946,59,0,2641,2262,7171,7436,1447
2020.04.10.08,921,275,214,230,637,1437,0,3714,2262,7754,6502,1261
2020.04.10.09,920,278,211,226,562,3388,0,5585,2262,6823,5459,1230
2020.04.10.10,866,262,211,172,846,4996,0,7353,2263,6003,4633,940
2020.04.10.11,890,254,212,165,792,5924,0,8238,2263,5452,3850,968
2020.04.10.12,871,254,215,165,806,6683,0,8994,2263,5226,3307,933
2020.04.10.13,890,259,218,204,1390,6828,0,9788,2263,4777,2559,877
2020.04.10.14,850,259,218,204,1388,6760,0,9680,2263,4437,2724,967
2020.04.10.15,848,255,217,168,1369,6337,0,9194,2261,4226,2952,984
2020.04.10.16,845,270,219,168,1478,5464,0,8445,2259,4348,3548,992
2020.04.10.17,847,293,220,179,1643,4252,0,7434,2260,4837,4465,1197
2020.04.10.18,872,293,220,228,1368,2856,0,5837,2260,5635,5714,1664
2020.04.10.19,866,295,220,241,1383,1113,0,4117,2260,6521,7105,2254
2020.04.10.20,847,295,221,240,1542,6,0,3152,2261,7275,8078,2795
2020.04.10.21,845,296,221,239,1608,0,0,3179,2261,7497,8251,2686
2020.04.10.22,876,297,220,216,1725,0,0,3300,2261,7188,8060,2278
2020.04.10.23,919,292,219,209,1736,0,0,3342,2262,7079,7552,1658
2020.04.10.24,917,286,220,201,2255,0,0,3845,2263,6582,6977,1108
