Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.07.12.01,897,388,227,441,3511,0,0,5464,2271,8495,6618,3918
2019.07.12.02,898,387,227,434,3327,0,0,5273,2272,7438,6320,3844
2019.07.12.03,901,388,227,397,3331,0,0,4343,2274,7370,6293,3805
2019.07.12.04,901,389,228,399,3177,0,0,5094,2275,6076,6427,3692
2019.07.12.05,901,392,227,436,2798,0,0,4754,2275,6292,6480,3713
2019.07.12.06,901,392,226,440,2246,0,0,4205,2275,6940,7122,3743
2019.07.12.07,901,389,224,458,1869,1013,0,4854,2275,7132,7400,3743
2019.07.12.08,897,386,222,452,1363,4613,3,7936,2275,6816,6004,3697
2019.07.12.09,897,389,220,410,940,7611,150,10617,2276,6248,4862,3642
2019.07.12.10,887,388,221,414,506,8930,367,11713,2277,6390,4029,3698
2019.07.12.11,880,390,224,412,342,9613,365,12226,2277,7041,3811,3689
2019.07.12.12,876,389,217,454,260,10073,360,12629,2276,7854,3666,3700
2019.07.12.13,876,392,217,459,247,10181,452,12824,2272,9924,2242,3937
2019.07.12.14,876,388,223,465,273,9915,203,12343,2270,12166,2290,3978
2019.07.12.15,874,391,225,475,391,10051,227,12634,2270,12937,2868,4044
2019.07.12.16,875,389,226,471,978,9806,289,13034,2270,13274,3409,4204
2019.07.12.17,876,394,225,477,1890,9250,285,13397,2271,12997,4341,4345
2019.07.12.18,878,388,225,479,2601,7639,350,12560,2272,13555,5223,4625
2019.07.12.19,881,389,227,517,2910,4649,259,9832,2273,14545,6563,4951
2019.07.12.20,883,389,228,516,3131,1079,51,6277,2274,15424,8201,5055
2019.07.12.21,886,388,216,520,3505,0,0,5515,2274,15089,8197,5049
2019.07.12.22,891,391,229,485,3792,0,0,5788,2274,13808,8268,4553
2019.07.12.23,895,391,228,524,3860,0,0,5898,2274,12259,7051,4405
2019.07.12.24,897,394,228,522,3600,0,0,5641,2272,10262,7106,4161
