Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.12.09.01,999,352,211,134,313,0,0,2009,2254,7955,7296,1761
2018.12.09.02,998,352,210,128,338,0,0,2026,2253,7233,7222,1688
2018.12.09.03,998,353,210,96,409,0,0,1068,2253,7992,6905,1677
2018.12.09.04,998,353,210,129,375,0,0,2065,2252,6780,6736,1750
2018.12.09.05,998,354,210,139,388,0,0,2089,2253,6983,6555,1748
2018.12.09.06,998,355,210,187,401,0,0,2151,2254,7381,6501,1790
2018.12.09.07,998,357,210,226,386,8,0,2185,2255,7601,6952,1861
2018.12.09.08,996,357,210,273,344,1416,0,3596,2255,7211,6381,1810
2018.12.09.09,996,349,210,224,320,3962,110,6171,2256,5978,5647,1558
2018.12.09.10,996,351,209,116,326,4779,270,7047,2258,5520,5628,1397
2018.12.09.11,996,363,208,108,369,5363,345,7752,2258,5546,4752,1377
2018.12.09.12,995,358,208,106,373,5752,332,8124,2259,5372,4393,1381
2018.12.09.13,995,363,211,107,432,5941,336,8385,2259,5469,4017,1416
2018.12.09.14,997,366,211,107,472,5281,234,7668,2258,5673,4945,1414
2018.12.09.15,996,367,211,107,365,4091,146,6283,2256,6623,5830,1448
2018.12.09.16,995,366,211,139,348,1738,0,3797,2255,8206,6797,1842
2018.12.09.17,996,368,211,325,367,99,0,2366,2254,9135,8606,2162
2018.12.09.18,996,366,212,373,391,0,0,2338,2255,10639,9502,2404
2018.12.09.19,997,366,212,373,291,0,0,2239,2258,10905,9660,2328
2018.12.09.20,996,365,212,329,363,0,0,2265,2258,10513,9522,2572
2018.12.09.21,996,367,212,271,316,0,0,2162,2257,10270,9356,2490
2018.12.09.22,995,370,211,222,200,0,0,1998,2256,10116,9195,1961
2018.12.09.23,995,370,211,144,159,0,0,1879,2257,9827,8027,1836
2018.12.09.24,995,370,211,130,159,0,0,1865,2259,8820,7308,1766
