Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.04.21.01,890,266,216,240,4116,0,0,5691,2263,3405,5551,2302
2020.04.21.02,890,267,216,224,4193,0,0,5755,2262,2698,5692,2134
2020.04.21.03,890,266,215,214,4359,0,0,5907,2262,2355,5428,2022
2020.04.21.04,889,262,212,223,4349,0,0,5898,2262,2312,5472,1891
2020.04.21.05,888,267,215,222,4536,0,0,6089,2262,2351,5444,2022
2020.04.21.06,886,265,215,240,4320,0,0,5886,2262,2456,6192,2329
2020.04.21.07,886,272,213,244,4180,550,0,6345,2263,2573,6541,2464
2020.04.21.08,886,267,203,245,3974,4421,0,9996,2263,2421,4184,1941
2020.04.21.09,887,270,212,226,3913,8075,105,13689,2264,2297,1555,1116
2020.04.21.10,886,258,210,217,3684,8195,280,13731,2266,2261,698,1115
2020.04.21.11,885,248,209,220,3850,7865,290,13566,2267,2056,415,1161
2020.04.21.12,884,250,209,228,3771,7834,297,13474,2266,1858,295,1052
2020.04.21.13,881,252,210,230,3919,7802,283,13578,2263,1890,-29,1077
2020.04.21.14,877,250,211,219,3788,8468,278,14092,2262,1811,-459,984
2020.04.21.15,877,253,213,219,3692,8667,295,14215,2262,1799,-651,983
2020.04.21.16,876,258,208,227,3443,9096,324,14432,2263,1870,-563,1007
2020.04.21.17,874,262,217,234,3693,8979,285,14544,2264,2045,-92,1158
2020.04.21.18,877,259,217,254,4363,7412,256,13637,2266,2300,1658,1491
2020.04.21.19,867,259,218,259,4109,3040,35,8788,2266,3094,5892,2645
2020.04.21.20,869,261,219,262,4114,228,0,5953,2267,3756,8337,3612
2020.04.21.21,879,258,217,260,4276,30,0,5921,2269,3978,8902,3406
2020.04.21.22,880,259,216,235,4722,0,0,6278,2269,3203,8535,3131
2020.04.21.23,882,256,216,227,4441,0,0,5988,2272,2891,8134,2663
2020.04.21.24,883,259,216,227,3976,0,0,5526,2269,2523,7531,2678
