Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.01.09.01,870,311,227,212,764,0,0,2384,2265,7821,7238,1609
2019.01.09.02,871,312,228,180,1044,0,0,2635,2263,7356,6837,1522
2019.01.09.03,876,311,228,185,1049,0,0,1773,2264,7983,6613,1521
2019.01.09.04,867,316,228,194,823,0,0,2428,2264,7237,6583,1556
2019.01.09.05,865,322,228,199,489,0,0,2103,2262,7687,7055,1587
2019.01.09.06,875,326,227,244,532,0,0,2204,2262,7772,7818,1862
2019.01.09.07,876,323,225,240,688,0,0,2352,2261,8580,8926,2384
2019.01.09.08,875,311,225,239,646,934,0,3230,2262,9128,8858,2317
2019.01.09.09,874,329,219,235,571,3810,0,6038,2262,7829,7392,1964
2019.01.09.10,875,333,219,227,472,5489,78,7693,2262,7186,6179,1613
2019.01.09.11,872,328,218,233,530,5929,196,8306,2263,6949,5380,1503
2019.01.09.12,838,318,217,225,379,5861,240,8078,2263,6957,5104,1469
2019.01.09.13,856,317,217,213,432,5861,311,8207,2262,6795,5210,1391
2019.01.09.14,874,318,221,223,535,5660,367,8198,2261,6998,5187,1395
2019.01.09.15,876,316,223,243,594,4752,248,7252,2261,7379,5823,1562
2019.01.09.16,877,316,222,263,1626,2606,179,6089,2261,7379,7286,1721
2019.01.09.17,879,316,222,306,2677,477,4,4881,2260,7753,8172,2411
2019.01.09.18,879,322,222,399,1962,0,0,3784,2260,9427,9197,3063
2019.01.09.19,880,335,223,363,1431,0,0,3232,2260,10283,9529,2766
2019.01.09.20,882,333,228,362,998,0,0,2803,2260,10338,9531,2619
2019.01.09.21,883,332,227,305,1057,0,0,2804,2259,9896,9425,2367
2019.01.09.22,883,341,228,341,1111,0,0,2904,2259,9027,9399,1942
2019.01.09.23,884,349,228,295,945,0,0,2701,2261,8223,8967,1828
2019.01.09.24,885,344,226,251,1283,0,0,2989,2264,7363,8056,1710
