Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.08.20.01,953,359,229,392,3570,0,0,5503,2255,7960,6187,3086
2019.08.20.02,954,359,229,391,3589,0,0,5522,2256,6848,6051,3001
2019.08.20.03,956,360,230,391,3117,0,0,4098,2256,7559,5908,2942
2019.08.20.04,956,363,230,391,2654,0,0,4594,2253,6778,5841,2874
2019.08.20.05,958,361,230,391,2373,0,0,4313,2252,7073,5990,2981
2019.08.20.06,959,355,229,401,2288,0,0,4232,2251,7491,6561,3280
2019.08.20.07,959,354,228,435,2300,391,0,4667,2250,8164,7149,3339
2019.08.20.08,957,347,226,427,2239,3972,133,8301,2251,7379,5503,3163
2019.08.20.09,951,355,227,423,2001,8160,396,12513,2252,6138,3239,3009
2019.08.20.10,924,357,223,381,1760,9739,475,13859,2254,6036,2687,2766
2019.08.20.11,948,360,224,337,1509,10371,514,14263,2255,5960,2830,2831
2019.08.20.12,945,354,224,374,1458,10607,527,14489,2256,6093,2987,2922
2019.08.20.13,941,353,227,385,1558,10616,543,14623,2256,7210,2552,3031
2019.08.20.14,938,356,232,380,1785,10578,545,14814,2256,8500,2655,3133
2019.08.20.15,936,359,230,383,2023,10478,543,14952,2257,9891,2761,3279
2019.08.20.16,937,357,230,395,2351,10099,532,14901,2254,11189,3000,3572
2019.08.20.17,940,358,230,438,2803,9327,502,14598,2253,12277,3437,3931
2019.08.20.18,938,348,230,438,3046,7403,451,12854,2253,13720,4162,4309
2019.08.20.19,938,342,231,483,3589,3123,244,8950,2254,15435,5765,4659
2019.08.20.20,939,343,234,483,3782,218,2,6001,2254,16050,7209,4676
2019.08.20.21,945,342,235,444,4071,0,0,6037,2254,14389,8008,4695
2019.08.20.22,955,349,234,431,4044,0,0,6013,2256,13379,7306,4264
2019.08.20.23,959,355,234,419,4123,0,0,6090,2260,10972,6954,3775
2019.08.20.24,960,354,234,378,4022,0,0,5948,2261,8573,6971,3497
