Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.11.06.01,481,319,210,274,660,0,0,1904,1111,10301,6027,1657
2019.11.06.02,482,317,210,283,612,0,0,1862,1111,10371,5545,1408
2019.11.06.03,481,316,210,293,576,0,0,1835,1112,10237,5088,1556
2019.11.06.04,481,317,209,292,604,0,0,1862,1113,10301,4885,1617
2019.11.06.05,482,321,209,295,578,0,0,1841,1113,10509,5053,1763
2019.11.06.06,483,332,209,309,470,0,0,1756,1114,11231,5652,2057
2019.11.06.07,483,347,208,328,407,500,0,2273,1116,12166,5860,2391
2019.11.06.08,484,349,202,324,318,3768,162,5607,1119,10724,5292,1977
2019.11.06.09,473,349,197,256,330,7388,388,9381,1114,9244,3992,961
2019.11.06.10,424,352,200,238,479,8307,433,10433,1112,8706,3736,593
2019.11.06.11,407,352,196,237,634,8409,429,10664,1111,8275,3488,608
2019.11.06.12,407,351,200,238,650,8328,423,10597,1110,8582,3658,405
2019.11.06.13,457,346,199,241,549,8503,407,10702,1109,8651,3736,422
2019.11.06.14,472,349,203,255,535,8273,401,10489,1111,9022,3778,909
2019.11.06.15,497,348,203,266,885,7756,335,10291,1109,9103,4293,1182
2019.11.06.16,518,348,204,263,794,4846,105,7077,1109,11148,5292,1924
2019.11.06.17,520,352,193,268,969,829,9,3140,1111,13216,7064,2743
2019.11.06.18,522,349,197,276,741,0,0,2047,1111,14792,7793,3012
2019.11.06.19,530,348,200,267,762,0,0,2066,1110,14217,8465,2643
2019.11.06.20,524,348,213,265,717,0,0,2025,1110,13776,8374,2434
2019.11.06.21,524,344,218,263,687,0,0,1994,1111,13410,7980,2302
2019.11.06.22,523,342,217,266,896,0,0,2202,1112,12604,7683,1871
2019.11.06.23,522,330,217,266,860,0,0,2153,1115,11692,6932,1741
2019.11.06.24,524,319,217,246,778,0,0,2041,1114,10723,6397,1804
