Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.09.30.01,1005,389,245,261,1395,0,0,3295,2258,6791,8078,2380
2018.09.30.02,1005,391,245,263,1380,0,0,3284,2258,5958,8173,2180
2018.09.30.03,1004,391,245,261,1327,0,0,2224,2256,6571,7817,2250
2018.09.30.04,1005,391,243,261,1226,0,0,3126,2258,5229,7792,2235
2018.09.30.05,1005,393,242,262,1213,0,0,3115,2257,5208,7638,2291
2018.09.30.06,1006,398,243,262,1108,0,0,3017,2255,5552,7435,2454
2018.09.30.07,1007,408,247,264,1018,0,0,2944,2254,5722,7799,2487
2018.09.30.08,1008,409,246,254,703,1425,36,4081,2255,5447,7218,2327
2018.09.30.09,1007,398,245,216,397,4809,323,7395,2255,4105,6229,2165
2018.09.30.10,1005,395,245,226,436,6913,519,9739,2256,3623,5070,2086
2018.09.30.11,1003,396,244,230,575,7755,484,10687,2257,3189,4895,2088
2018.09.30.12,1002,387,244,225,700,7743,408,10709,2260,3753,4819,2169
2018.09.30.13,1000,399,241,227,810,7310,397,10384,2260,4294,5393,2222
2018.09.30.14,1000,409,240,227,1087,6859,389,10211,2257,4948,6341,2169
2018.09.30.15,999,407,240,257,1264,6522,379,10068,2255,5111,7556,2144
2018.09.30.16,998,408,238,266,1154,5829,374,9267,2255,6732,8054,2117
2018.09.30.17,997,408,235,263,1157,4630,335,8025,2254,8625,7737,2485
2018.09.30.18,993,407,237,260,1407,2070,119,5493,2255,9057,9861,3061
2018.09.30.19,1000,408,242,265,1300,138,0,3353,2255,10636,10261,3558
2018.09.30.20,1001,407,242,304,1180,0,0,3134,2255,10653,11117,3538
2018.09.30.21,1002,408,242,267,1272,0,0,3191,2256,9994,11158,3151
2018.09.30.22,1003,390,238,243,1066,0,0,2940,2256,9462,10930,2674
2018.09.30.23,1003,343,237,214,864,0,0,2661,2259,9280,9887,2075
2018.09.30.24,1003,329,237,212,876,0,0,2657,2261,8964,8183,2041
