Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.12.16.01,757,326,207,279,541,0,0,2099,1104,8886,7450,2191
2019.12.16.02,757,328,207,278,461,0,0,2020,1103,8598,7313,2045
2019.12.16.03,757,327,207,279,376,0,0,1934,1104,8578,7062,2050
2019.12.16.04,758,325,207,288,372,0,0,1937,1104,8723,6945,2068
2019.12.16.05,757,325,207,288,407,0,0,1970,1105,9230,7073,2150
2019.12.16.06,757,330,204,303,508,0,0,2087,1105,9838,7559,2795
2019.12.16.07,756,344,204,304,547,17,0,2172,1105,11347,8006,3578
2019.12.16.08,754,342,205,286,568,1819,0,3975,1104,11275,7790,3360
2019.12.16.09,752,344,207,271,743,5811,111,8238,1104,9091,5460,2553
2019.12.16.10,751,341,206,269,991,7480,335,10373,1104,8005,3878,1760
2019.12.16.11,751,334,206,269,1171,7911,411,11052,1104,7451,3128,1269
2019.12.16.12,741,320,207,263,1396,7780,406,11112,1105,7470,2114,1322
2019.12.16.13,747,328,205,258,1591,7514,399,11042,1105,7271,2146,1266
2019.12.16.14,728,340,203,256,1571,7765,382,11246,1104,7346,2068,1257
2019.12.16.15,749,344,207,257,1408,6836,334,10134,1104,7888,3178,1282
2019.12.16.16,747,348,214,294,1335,3381,194,6513,1104,9712,5610,2007
2019.12.16.17,753,351,212,308,1080,265,0,2968,1104,11948,7771,3440
2019.12.16.18,757,367,216,336,1048,0,0,2714,1103,13990,8268,4002
2019.12.16.19,757,365,216,338,951,0,0,2618,1103,14373,8322,4035
2019.12.16.20,758,369,216,338,794,0,0,2466,1103,14246,8325,3979
2019.12.16.21,758,366,216,304,775,0,0,2410,1105,14046,8164,3746
2019.12.16.22,759,364,215,298,762,0,0,2389,1105,13041,8407,3253
2019.12.16.23,757,343,215,285,727,0,0,2306,1106,12242,7876,2611
2019.12.16.24,757,324,215,270,688,0,0,2231,1105,11460,7200,2175
