Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.11.01.01,1021,231,178,160,699,0,0,2249,-71,9376,6858,1319
2020.11.01.02,1023,231,178,160,593,0,0,2161,-73,9224,6823,908
2020.11.01.03,1024,232,178,155,393,0,0,1956,-73,9493,6604,825
2020.11.01.04,1026,231,178,117,264,0,0,1778,-72,10031,5757,942
2020.11.01.05,1027,232,178,117,249,0,0,1760,-72,10069,5839,941
2020.11.01.06,1027,237,179,151,271,0,0,1822,-72,10605,5497,969
2020.11.01.07,1028,244,179,165,298,439,0,2273,-73,10440,5372,1153
2020.11.01.08,1027,248,180,151,265,3885,87,5624,-74,8568,4419,756
2020.11.01.09,1023,250,179,109,311,6625,86,8545,-74,7263,3094,632
2020.11.01.10,1018,251,179,108,304,7055,233,9105,-74,7227,2687,542
2020.11.01.11,1013,250,178,108,420,6980,303,9283,-74,6966,2707,541
2020.11.01.12,1011,251,178,108,556,7306,216,9533,-74,6975,2932,542
2020.11.01.13,1010,250,180,108,855,8148,274,10827,-74,6579,2875,541
2020.11.01.14,1008,249,181,107,884,7932,179,10585,-74,7123,3648,586
2020.11.01.15,1007,243,181,152,746,6528,95,9050,-74,8223,4415,1164
2020.11.01.16,1010,255,181,172,604,3905,47,6337,-74,10981,5038,1716
2020.11.01.17,1013,249,176,188,574,783,2,3098,-74,13671,6286,2140
2020.11.01.18,1018,251,180,195,556,0,0,2164,-74,14883,7087,2321
2020.11.01.19,1019,262,180,222,529,0,0,2171,-74,14544,7366,2146
2020.11.01.20,1020,275,180,184,483,0,0,2111,-74,13515,7559,2132
2020.11.01.21,1020,272,179,177,441,0,0,2049,-74,12945,6952,2286
2020.11.01.22,1021,269,178,177,472,0,0,2081,-74,12331,7162,1481
2020.11.01.23,1022,264,177,165,526,0,0,2112,-74,11157,7007,1295
2020.11.01.24,1022,261,184,154,586,0,0,2168,-74,10039,6850,1232
