Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.12.30.01,957,303,208,144,1092,0,0,2660,1142,8892,8880,584
2020.12.30.02,956,304,211,146,1269,0,0,2836,1141,8077,8796,519
2020.12.30.03,957,303,210,145,1139,0,0,2721,1142,7893,8673,530
2020.12.30.04,957,307,210,163,1043,0,0,2632,1143,8011,8674,510
2020.12.30.05,956,309,210,167,1134,0,0,2724,1142,8509,8432,540
2020.12.30.06,957,304,209,165,1114,0,0,2717,1142,9338,8539,873
2020.12.30.07,960,300,209,166,904,0,0,2512,1142,10563,8918,1265
2020.12.30.08,961,298,209,164,695,1712,0,3850,1143,10252,8719,1232
2020.12.30.09,960,301,210,153,626,6450,112,8592,1143,8162,5988,922
2020.12.30.10,960,300,206,145,607,8890,277,11343,1142,7192,3207,776
2020.12.30.11,954,301,207,88,524,9131,366,11575,1142,6492,2817,657
2020.12.30.12,958,297,188,88,530,8821,329,11239,1143,6201,2429,629
2020.12.30.13,958,296,187,97,510,8353,330,10761,1142,6169,2349,727
2020.12.30.14,956,300,188,99,362,8363,174,10458,1142,6489,2456,756
2020.12.30.15,957,300,191,99,655,7478,8,9766,1143,6514,3725,685
2020.12.30.16,956,302,191,138,1077,4311,0,7153,1143,7920,5954,816
2020.12.30.17,957,306,190,182,1161,703,0,3609,1143,10992,7744,1515
2020.12.30.18,956,303,191,226,1268,0,0,2898,1142,12439,9037,2078
2020.12.30.19,954,304,192,190,1397,0,0,2984,1143,12547,9291,1885
2020.12.30.20,954,303,192,184,1329,0,0,2932,1143,12247,9290,1725
2020.12.30.21,952,300,192,185,1012,0,0,2611,1142,12106,9155,1622
2020.12.30.22,951,304,187,185,1160,0,0,2731,1144,11647,8848,1258
2020.12.30.23,951,302,191,176,1399,0,0,2973,1146,9859,8863,1191
2020.12.30.24,951,292,192,153,1701,0,0,3231,1145,8594,8738,786
