Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.09.06.01,969,357,237,425,2251,0,0,4239,2256,11342,6798,3615
2019.09.06.02,971,355,237,429,2058,0,0,4050,2256,10530,6564,3321
2019.09.06.03,973,351,237,404,1833,0,0,2825,2257,10902,6574,3094
2019.09.06.04,973,343,238,401,1883,0,0,3838,2258,9328,6484,3081
2019.09.06.05,974,344,237,401,1814,0,0,3770,2254,9383,6614,3127
2019.09.06.06,976,342,237,422,1649,0,0,3626,2253,9947,6848,3559
2019.09.06.07,977,342,238,429,1449,94,0,3529,2257,11036,7617,3651
2019.09.06.08,975,339,235,431,1280,2748,40,6048,2257,10435,6800,3782
2019.09.06.09,971,341,238,400,1129,6952,215,10246,2253,8999,5615,3312
2019.09.06.10,968,341,233,419,1003,8984,323,12271,2252,8946,4825,3175
2019.09.06.11,965,339,233,419,899,9695,352,12902,2249,9408,4883,3203
2019.09.06.12,962,344,233,422,816,9981,357,13115,2250,10575,4709,3340
2019.09.06.13,958,370,233,423,1067,9933,286,13270,2248,11576,4896,3425
2019.09.06.14,955,374,236,425,1457,9815,233,13495,2245,13234,4641,3649
2019.09.06.15,952,372,234,434,1991,9626,251,13860,2244,14305,4633,3509
2019.09.06.16,951,374,236,440,2338,9293,362,13994,2246,14945,5088,3821
2019.09.06.17,953,377,234,444,2712,8251,355,13326,2249,15961,5427,4211
2019.09.06.18,954,375,231,462,2742,5650,303,10717,2250,17842,6403,4241
2019.09.06.19,958,373,237,460,3143,1556,75,6802,2252,18815,8136,4334
2019.09.06.20,961,371,238,462,3693,0,0,5725,2256,18094,8675,4384
2019.09.06.21,958,371,238,452,4073,0,0,6092,2257,16171,8912,4345
2019.09.06.22,960,372,238,445,4034,0,0,6049,2255,14649,8348,4200
2019.09.06.23,962,370,238,425,4176,0,0,6171,2254,13073,7311,3887
2019.09.06.24,965,370,238,422,4097,0,0,6092,2254,10619,7463,3517
