Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2021.01.05.01,955,314,218,154,1926,0,0,3525,1144,6434,9398,716
2021.01.05.02,956,315,218,157,2327,0,0,3899,1144,5672,9149,679
2021.01.05.03,882,315,218,157,2756,0,0,4285,1144,5130,8845,726
2021.01.05.04,869,319,219,157,2776,0,0,4295,1143,5274,8663,703
2021.01.05.05,874,319,218,171,3083,0,0,4584,1142,5703,8540,692
2021.01.05.06,873,319,217,173,3453,0,0,4990,1143,6179,8778,869
2021.01.05.07,872,327,217,182,3151,0,0,4743,1143,7665,9217,1147
2021.01.05.08,871,336,214,215,2656,1424,0,5578,1142,8069,9341,1242
2021.01.05.09,868,339,211,173,1804,5744,214,9189,1143,6682,7334,1043
2021.01.05.10,871,330,212,165,1294,8115,335,11254,1144,4922,6204,818
2021.01.05.11,875,333,213,129,1067,9087,349,12046,1144,4531,4603,792
2021.01.05.12,874,337,216,117,946,9067,355,11918,1143,4393,4087,666
2021.01.05.13,873,332,218,113,927,8840,351,11667,1143,4444,3877,678
2021.01.05.14,901,324,218,113,919,8791,342,11619,1144,4548,4021,704
2021.01.05.15,910,318,217,154,925,7482,315,10443,1144,5033,5410,702
2021.01.05.16,910,313,216,168,913,4561,202,7488,1144,7183,7313,776
2021.01.05.17,921,313,211,184,857,729,9,3344,1143,10001,9241,1420
2021.01.05.18,955,310,215,219,866,0,0,2552,1143,12583,9795,1442
2021.01.05.19,957,311,217,213,901,0,0,2583,1142,12641,10014,1430
2021.01.05.20,957,309,219,216,1035,0,0,2718,1141,12095,9774,1564
2021.01.05.21,959,309,219,188,1008,0,0,2673,1142,11469,9830,1349
2021.01.05.22,960,310,219,172,974,0,0,2623,1143,10854,9704,1089
2021.01.05.23,960,311,218,165,968,0,0,2605,1145,10153,9155,903
2021.01.05.24,959,309,219,153,1049,0,0,2677,1145,8948,8777,802
