Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.08.10.01,968,394,226,452,3685,0,0,5725,2263,6531,7223,3605
2019.08.10.02,968,366,227,450,3356,0,0,5367,2263,5546,7264,3533
2019.08.10.03,969,355,227,448,3401,0,0,4431,2264,5576,7434,3266
2019.08.10.04,970,326,227,449,3150,0,0,5122,2266,4190,7496,3240
2019.08.10.05,971,300,227,448,2719,0,0,4665,2267,4337,7673,3280
2019.08.10.06,969,310,227,478,2416,0,0,4400,2267,4494,8021,3390
2019.08.10.07,971,319,224,479,2360,497,0,4850,2269,3957,8249,3485
2019.08.10.08,971,342,212,460,2381,4022,132,8520,2270,2541,6682,3204
2019.08.10.09,968,358,214,452,2426,7854,369,12641,2271,1153,4734,2914
2019.08.10.10,966,357,214,440,1959,9396,471,13803,2269,1555,3896,2844
2019.08.10.11,964,356,211,445,1651,10088,494,14209,2268,1600,4358,2857
2019.08.10.12,963,355,210,460,1792,10484,505,14769,2269,1698,3896,2925
2019.08.10.13,961,352,212,470,2204,10441,507,15147,2267,1707,3935,3073
2019.08.10.14,960,365,223,469,2669,10471,505,15662,2264,1913,4148,3246
2019.08.10.15,960,474,224,466,2857,10363,505,15849,2264,2395,4513,3257
2019.08.10.16,960,419,223,472,3205,9982,499,15760,2266,3359,4932,3264
2019.08.10.17,959,368,216,487,3539,9331,469,15369,2266,4348,5575,3244
2019.08.10.18,958,373,213,537,3978,7594,410,14063,2267,5485,6240,3673
2019.08.10.19,959,385,218,562,3911,3792,239,10066,2269,7817,7629,4321
2019.08.10.20,961,388,223,563,3441,545,4,6125,2270,9141,9321,4757
2019.08.10.21,963,380,222,571,3806,106,0,6048,2269,9083,9468,4479
2019.08.10.22,966,380,222,564,3818,41,0,5991,2269,8738,8752,4380
2019.08.10.23,968,381,222,519,3535,0,0,5625,2269,7943,8201,4019
2019.08.10.24,969,389,222,474,3621,0,0,5675,2268,6588,7650,3796
