Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2021.02.07.01,982,320,221,113,1138,0,0,2736,1145,6872,8689,560
2021.02.07.02,983,324,222,112,1162,0,0,2758,1145,6406,8445,566
2021.02.07.03,982,327,222,112,1244,0,0,2861,1145,5784,8573,573
2021.02.07.04,983,320,223,111,1100,0,0,2705,1145,5910,8600,485
2021.02.07.05,982,314,222,112,903,0,0,2495,1146,6264,8561,510
2021.02.07.06,983,313,222,139,976,0,0,2591,1145,6269,8923,511
2021.02.07.07,984,313,216,141,981,44,0,2652,1145,6465,9391,641
2021.02.07.08,986,312,214,140,1008,2981,48,5413,1145,5596,7790,504
2021.02.07.09,985,311,215,128,907,7583,214,10240,1145,3797,4640,253
2021.02.07.10,983,308,215,98,718,8656,250,11209,1144,3032,3741,80
2021.02.07.11,981,299,215,79,471,9016,252,11315,1144,2778,2732,85
2021.02.07.12,980,311,214,78,389,8919,252,11141,1144,2577,2449,60
2021.02.07.13,977,311,215,78,411,8909,251,11159,1143,2531,2391,-8
2021.02.07.14,975,307,212,78,431,9175,252,11417,1143,2598,2351,33
2021.02.07.15,975,305,213,81,629,9317,249,11750,1144,3036,2555,2
2021.02.07.16,974,307,210,82,1018,7986,205,10928,1144,3896,3563,68
2021.02.07.17,977,314,211,139,1314,2793,80,6091,1144,6049,6828,684
2021.02.07.18,977,314,209,153,1548,82,0,3293,1144,8076,8924,1325
2021.02.07.19,979,313,208,187,1894,0,0,3529,1145,8320,9401,1554
2021.02.07.20,982,311,212,187,1966,0,0,3627,1144,8546,9173,1209
2021.02.07.21,984,309,212,144,1932,0,0,3543,1144,8695,9029,919
2021.02.07.22,983,313,212,126,1963,0,0,3565,1144,8086,8952,799
2021.02.07.23,984,317,214,127,1964,0,0,3559,1144,7253,8831,655
2021.02.07.24,984,317,215,120,2069,0,0,3670,1145,6515,8252,654
