Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.11.19.01,1020,234,193,178,3489,0,0,5100,1116,6113,7442,1055
2020.11.19.02,1020,231,194,186,3386,0,0,5000,1117,5167,7779,1077
2020.11.19.03,1022,229,194,187,3493,0,0,5080,1121,5049,7545,1020
2020.11.19.04,1022,232,194,178,3610,0,0,5204,1124,4785,7571,1016
2020.11.19.05,1023,231,193,183,3477,0,0,5076,1126,5437,7432,1130
2020.11.19.06,1023,218,193,189,3342,0,0,4937,1130,6605,7650,1192
2020.11.19.07,1022,214,193,222,3046,217,0,4871,1135,7278,8577,1414
2020.11.19.08,1017,210,195,187,3063,3191,72,7721,1139,6879,7236,1091
2020.11.19.09,1014,211,191,170,2843,6376,268,10986,1128,5379,5432,954
2020.11.19.10,1013,211,190,170,2584,7732,345,12201,1119,4825,4159,995
2020.11.19.11,1014,211,190,163,2496,8292,363,12720,1116,4218,3432,1053
2020.11.19.12,1009,211,191,166,2233,8704,368,12869,1117,4182,2913,1005
2020.11.19.13,959,210,193,165,2038,8844,268,12682,1117,4389,2845,1073
2020.11.19.14,964,211,193,166,1933,8888,251,12622,1116,4928,2796,1047
2020.11.19.15,967,212,193,168,2016,7994,219,11847,1116,6424,2878,1016
2020.11.19.16,969,214,193,178,2002,4537,176,8522,1117,8383,5090,1175
2020.11.19.17,969,233,197,241,1820,539,38,4161,1115,11704,7468,1437
2020.11.19.18,972,233,195,242,1609,0,2,3225,1115,13763,8217,1395
2020.11.19.19,975,225,189,235,1255,0,0,2862,1120,13625,8165,1708
2020.11.19.20,978,226,193,244,1124,0,0,2732,1124,13028,8305,1624
2020.11.19.21,978,235,195,246,1063,0,0,2688,1129,12652,7955,1617
2020.11.19.22,977,234,198,211,1046,0,0,2630,1134,12098,7834,1301
2020.11.19.23,978,220,198,180,1061,0,0,2612,1138,10513,8040,1194
2020.11.19.24,977,216,199,178,1030,0,0,2560,1135,9156,8100,1101
