Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.04.10.01,971,215,178,435,4075,0,0,5874,2283,2517,5978,3748
2019.04.10.02,972,215,182,428,4186,0,0,5983,2283,2114,5647,3678
2019.04.10.03,972,219,182,436,4053,0,0,4890,2284,3142,5484,3441
2019.04.10.04,973,222,183,437,3397,0,0,5212,2283,2204,6038,3515
2019.04.10.05,973,225,182,437,2971,0,0,4788,2284,2424,6504,3793
2019.04.10.06,973,227,183,455,2840,0,0,4678,2285,2663,7707,3959
2019.04.10.07,974,232,181,466,2953,200,0,5006,2285,3529,8688,3836
2019.04.10.08,975,237,176,465,3142,3123,0,8118,2285,2811,7084,3789
2019.04.10.09,973,239,175,440,3096,7626,151,12700,2286,2307,2670,3582
2019.04.10.10,973,239,174,440,3343,8882,265,14316,2286,1733,1061,3411
2019.04.10.11,972,242,178,440,3567,9372,196,14967,2284,1472,-28,3417
2019.04.10.12,971,238,176,440,3814,9254,134,15027,2284,1529,-491,3301
2019.04.10.13,970,237,179,442,3875,9092,128,14923,2284,1537,-729,3350
2019.04.10.14,968,237,180,443,3577,9738,130,15273,2285,1618,-1021,3190
2019.04.10.15,964,238,180,442,3337,10282,135,15578,2286,1660,-1084,3175
2019.04.10.16,963,240,181,447,3241,9954,137,15163,2286,1633,-471,3427
2019.04.10.17,923,245,170,448,3552,9214,137,14689,2285,2108,514,3332
2019.04.10.18,949,240,180,452,3708,7074,121,12724,2285,2612,2926,3535
2019.04.10.19,964,243,188,491,3806,2382,48,8122,2286,4171,6760,3712
2019.04.10.20,965,244,192,494,3949,88,0,5932,2285,5951,8419,3944
2019.04.10.21,966,243,191,491,4072,0,0,5963,2286,5926,8856,3947
2019.04.10.22,968,245,190,493,4020,1,0,5917,2286,4903,8744,3976
2019.04.10.23,967,244,190,451,3821,1,0,5674,2284,4290,7676,3911
2019.04.10.24,968,243,190,468,3671,0,0,5540,2284,3422,6950,3844
