Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.12.03.01,968,293,180,145,1320,0,0,2867,1108,9138,7594,976
2020.12.03.02,970,284,188,146,1239,0,0,2793,1107,8396,7667,964
2020.12.03.03,969,284,196,145,1057,0,0,2617,1108,8291,7640,959
2020.12.03.04,970,297,201,146,911,0,0,2491,1109,8546,7504,926
2020.12.03.05,970,299,201,150,844,0,0,2428,1109,9222,7319,1020
2020.12.03.06,975,300,207,151,772,0,0,2357,1110,10436,7242,1265
2020.12.03.07,979,308,212,189,855,51,0,2566,1121,11424,7618,1648
2020.12.03.08,979,308,210,153,842,2694,35,4975,1134,10692,7185,1374
2020.12.03.09,980,299,214,134,830,6845,242,9401,1125,8497,5103,1033
2020.12.03.10,976,271,212,114,835,8373,340,11086,1109,7568,3552,814
2020.12.03.11,969,285,212,113,909,8067,385,10973,1109,7119,3328,758
2020.12.03.12,962,307,211,100,977,7572,388,10526,1109,6723,3716,777
2020.12.03.13,964,308,212,95,946,7782,383,10667,1108,7016,3184,769
2020.12.03.14,959,309,213,133,735,8295,361,11003,1109,6707,3311,938
2020.12.03.15,958,309,212,136,603,7722,303,10331,1109,7435,4022,992
2020.12.03.16,961,313,213,141,509,4388,165,6956,1108,9666,6254,1126
2020.12.03.17,940,305,214,197,365,465,21,2600,1108,13912,7407,1549
2020.12.03.18,939,300,215,194,266,29,21,1973,1109,15512,8299,1866
2020.12.03.19,968,310,217,201,297,0,21,1971,1108,15754,8028,1704
2020.12.03.20,981,310,218,206,341,0,21,2040,1108,15347,7868,1624
2020.12.03.21,981,309,216,205,346,0,21,2044,1108,14541,7893,1593
2020.12.03.22,982,310,216,159,382,0,21,2031,1108,13517,8066,1338
2020.12.03.23,978,304,215,137,430,0,20,2047,1107,12499,7713,1259
2020.12.03.24,975,298,215,135,504,0,21,2108,1108,11019,7794,1023
