Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.09.03.01,974,412,240,297,2644,0,0,4567,2264,6999,7776,2539
2018.09.03.02,973,410,237,299,2397,0,0,4316,2265,6249,7905,2296
2018.09.03.03,974,413,239,297,2179,0,0,3128,2266,6693,7961,2204
2018.09.03.04,975,413,241,297,1948,0,0,3874,2266,5464,7983,2206
2018.09.03.05,976,415,240,298,1497,0,0,3426,2266,5760,8114,2215
2018.09.03.06,976,417,239,377,1206,0,0,3215,2262,6083,8282,2384
2018.09.03.07,974,414,238,380,975,124,0,3105,2261,6330,8623,2559
2018.09.03.08,970,415,238,418,804,2604,95,5544,2262,5725,7391,2269
2018.09.03.09,967,416,239,377,771,6532,318,9620,2259,4544,5358,2216
2018.09.03.10,963,415,239,269,658,8462,461,11467,2257,4499,4474,2108
2018.09.03.11,960,414,239,262,580,9238,505,12198,2256,4433,4196,2121
2018.09.03.12,958,412,240,261,647,9556,525,12599,2256,4677,4071,2183
2018.09.03.13,954,415,240,296,702,9568,515,12690,2256,5142,4560,2190
2018.09.03.14,952,415,239,301,765,9522,398,12592,2253,6673,4473,2302
2018.09.03.15,954,405,239,304,792,8978,165,11837,2253,8672,4722,2408
2018.09.03.16,953,395,239,351,934,8600,183,11655,2256,9521,5567,2460
2018.09.03.17,953,398,239,353,1026,7636,183,10788,2258,10263,6520,2891
2018.09.03.18,952,398,239,478,1212,5550,164,8993,2260,10637,8428,3200
2018.09.03.19,955,394,239,569,1957,1603,14,5731,2256,11766,9883,3642
2018.09.03.20,958,381,239,570,2562,28,0,4738,2248,12067,10287,3729
2018.09.03.21,963,379,239,569,2699,0,0,4849,2247,11358,10645,3474
2018.09.03.22,968,378,238,502,2503,0,0,4589,2250,10318,10382,3149
2018.09.03.23,972,370,238,450,2403,0,0,4433,2253,9935,8756,2659
2018.09.03.24,976,366,239,396,2215,0,0,4192,2257,8697,8263,2290
