Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.06.09.01,989,375,241,360,4795,0,0,6760,2282,2616,9109,3434
2018.06.09.02,989,375,243,332,4485,0,0,6424,2282,2303,8564,3402
2018.06.09.03,989,383,244,333,4479,0,0,5439,2281,2715,8283,3350
2018.06.09.04,988,385,244,332,4537,0,0,6486,2281,1260,8477,3007
2018.06.09.05,989,387,245,330,4377,0,0,6328,2281,1507,8072,3243
2018.06.09.06,988,389,244,291,4160,0,0,6072,2283,1635,8228,3320
2018.06.09.07,990,394,244,317,4016,1641,65,7667,2284,1769,6969,2950
2018.06.09.08,991,397,243,317,3873,5268,311,11400,2283,1515,4832,2519
2018.06.09.09,991,397,243,280,3790,8074,524,14299,2282,1356,3127,2437
2018.06.09.10,990,395,243,279,3798,9138,585,15428,2283,1266,2501,2418
2018.06.09.11,986,387,243,268,3804,9571,601,15860,2283,1188,2566,2371
2018.06.09.12,984,382,242,302,4213,9096,584,15803,2282,1153,2932,2343
2018.06.09.13,982,382,242,308,4334,9409,570,16227,2282,1164,2840,2364
2018.06.09.14,982,386,242,305,4625,9562,544,16646,2282,1294,2841,2354
2018.06.09.15,983,389,242,306,4876,9152,534,16482,2283,1335,3555,2344
2018.06.09.16,983,389,242,306,4850,8796,529,16095,2283,1557,4141,2401
2018.06.09.17,986,395,242,342,5006,8063,511,15545,2281,2197,4399,2689
2018.06.09.18,991,396,242,345,4866,6546,436,13822,2282,2864,6086,2828
2018.06.09.19,992,396,242,410,4451,3520,286,10297,2283,4229,7735,3875
2018.06.09.20,993,397,243,492,4136,631,26,6918,2284,5158,9925,3989
2018.06.09.21,995,395,243,523,4212,0,0,6368,2284,5395,10545,3928
2018.06.09.22,996,396,242,476,4098,0,0,6208,2283,4766,10713,3989
2018.06.09.23,997,389,243,370,4042,0,0,6041,2282,4503,9705,3786
2018.06.09.24,999,389,242,324,4033,0,0,5987,2282,3514,9066,3580
