Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.09.17.01,896,310,205,177,1542,0,0,3075,2242,10488,8011,1057
2020.09.17.02,899,306,205,177,1348,0,0,2875,2242,9616,7927,903
2020.09.17.03,902,310,205,172,1120,0,0,2651,2239,9168,7707,869
2020.09.17.04,901,312,206,135,882,0,0,2378,2239,9038,7695,857
2020.09.17.05,902,318,205,171,722,0,0,2246,2241,9218,7637,859
2020.09.17.06,903,328,205,178,662,0,0,2197,2243,9660,8144,899
2020.09.17.07,903,342,203,176,667,0,0,2273,2245,9938,9026,1101
2020.09.17.08,904,341,203,176,504,1683,28,3695,2245,9917,8711,965
2020.09.17.09,902,344,203,167,339,4554,190,6583,2244,9020,7208,1149
2020.09.17.10,899,340,203,157,144,6458,189,8317,2241,8736,6104,1192
2020.09.17.11,898,337,199,159,198,7472,344,9550,2241,8057,6368,1006
2020.09.17.12,894,339,194,168,179,8676,366,10765,2241,8169,6198,1046
2020.09.17.13,890,342,197,167,253,9265,363,11465,2238,9069,6255,1009
2020.09.17.14,888,342,202,173,285,9057,350,11322,2236,10862,6580,1204
2020.09.17.15,884,338,201,208,443,8128,344,10582,2235,13251,6770,1831
2020.09.17.16,880,343,202,210,700,6942,274,9621,2236,15148,7348,2161
2020.09.17.17,882,344,202,212,967,5271,221,8187,2236,16783,7646,2765
2020.09.17.18,888,343,201,223,1258,2459,153,5679,2236,17655,8915,3073
2020.09.17.19,894,344,203,228,1409,277,7,3406,2238,17599,10195,3059
2020.09.17.20,899,345,204,228,1977,0,0,3550,2240,16763,9982,3036
2020.09.17.21,899,343,203,214,2325,0,0,3906,2242,15448,9258,2810
2020.09.17.22,900,344,200,180,2344,0,0,3902,2243,14405,8928,2013
2020.09.17.23,901,327,199,173,2134,0,0,3674,2244,12894,8456,1706
2020.09.17.24,966,319,200,170,1737,0,0,3345,2245,11645,8062,1426
