Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.06.16.01,878,399,194,489,4259,0,0,6219,2272,3714,6437,4240
2019.06.16.02,891,407,194,485,4057,0,0,6034,2273,2890,6544,4052
2019.06.16.03,886,413,195,484,3801,0,0,4893,2272,3296,6499,4068
2019.06.16.04,890,416,183,484,3457,0,0,5430,2270,2328,6586,3987
2019.06.16.05,890,420,182,518,3220,0,0,5230,2268,2227,6809,3877
2019.06.16.06,891,415,194,603,2865,0,0,4968,2267,2276,6899,4040
2019.06.16.07,891,421,194,625,2675,1389,0,6195,2268,1884,6151,3787
2019.06.16.08,889,420,184,566,2545,5122,0,9726,2270,1652,3543,3336
2019.06.16.09,886,417,177,520,2218,7712,106,12036,2271,1610,2328,3052
2019.06.16.10,884,412,166,513,2049,8967,118,13109,2273,1586,1626,2963
2019.06.16.11,883,410,173,511,1859,9599,120,13555,2273,1590,1200,2938
2019.06.16.12,882,407,186,508,1728,9998,209,13918,2273,1673,449,2930
2019.06.16.13,880,407,182,510,1551,10035,164,13729,2273,1637,420,3153
2019.06.16.14,878,406,184,538,1458,9801,136,13401,2272,1766,852,3344
2019.06.16.15,878,406,193,544,2008,9522,147,13698,2270,1838,1109,3367
2019.06.16.16,878,398,199,575,2545,8817,145,13557,2271,2273,1731,3421
2019.06.16.17,879,406,200,635,2779,8285,250,13434,2270,3354,1950,3626
2019.06.16.18,879,408,202,661,3322,7126,367,12965,2269,3782,2946,4037
2019.06.16.19,876,415,203,662,3751,4332,247,10486,2270,5320,4435,4396
2019.06.16.20,876,420,203,663,4092,937,23,7214,2271,6452,6656,4746
2019.06.16.21,879,421,200,661,4489,0,0,6650,2272,6460,7527,4814
2019.06.16.22,881,420,199,661,4595,0,0,6756,2272,5999,7674,4520
2019.06.16.23,883,419,197,586,4575,0,0,6660,2272,5522,6901,4210
2019.06.16.24,884,419,197,496,4533,0,0,6529,2272,4821,6146,3990
