01/19/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		688		304		211		215		981		0		0		
	2		687		308		211		214		928		0		0		
	3		686		306		212		213		944		0		0		
	4		685		308		212		210		857		0		0		
	5		686		310		212		210		870		0		0		
	6		686		316		212		220		905		0		0		
	7		685		334		212		214		800		0		0		
	8		684		341		209		216		560		1406		0		
	9		684		349		207		214		453		3785		138		
	10		684		339		205		215		486		4581		228		
	11		683		328		210		213		564		5779		236		
	12		680		335		210		213		546		6028		189		
	13		677		337		211		212		526		5823		129		
	14		678		337		210		209		467		4394		85		
	15		677		336		210		205		371		3519		88		
	16		685		337		210		212		336		1595		0		
	17		708		344		210		234		525		267		0		
	18		718		345		211		310		666		0		0		
	19		750		349		211		316		664		0		0		
	20		778		352		211		312		576		0		0		
	21		792		349		211		281		618		0		0		
	22		805		351		208		222		519		0		0		
	23		825		342		206		194		402		0		0		
	24		834		339		206		191		462		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2371		2276		7845		7303		1452						
	2		2321		2274		7646		6893		1377						
	3		2334		2276		7168		7079		1193						
	4		2243		2277		7011		7101		1222						
	5		2259		2277		7039		7116		1272						
	6		2310		2275		7155		7195		1409						
	7		2229		2275		7560		7339		1707						
	8		3416		2276		7439		7025		1441						
	9		5830		2275		6029		6420		1303						
	10		6737		2274		5495		5900		1183						
	11		8012		2274		5112		4576		1190						
	12		8201		2275		5524		3739		1148						
	13		7915		2275		5579		3550		1115						
	14		6379		2274		6108		4948		1395						
	15		5404		2275		6575		6279		1260						
	16		3376		2276		8201		7183		1424						
	17		2288		2275		8485		8307		2256						
	18		2214		2275		9121		9221		2765						
	19		2255		2276		9310		9157		2895						
	20		2193		2276		9548		8921		2720						
	21		2214		2275		9701		8552		2314						
	22		2068		2275		9717		7686		2388						
	23		1932		2275		9652		6917		1939						
	24		1995		2276		9061		6503		1506						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
