10/09/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		913		250		222		194		3580		0		0		
	2		894		247		219		192		3936		0		0		
	3		860		243		205		190		4059		0		0		
	4		865		243		205		191		3825		0		0		
	5		895		243		204		192		3434		0		0		
	6		897		246		194		192		2743		0		0		
	7		863		247		195		190		2438		0		0		
	8		886		251		193		189		2045		1601		22		
	9		893		269		190		189		2145		5971		278		
	10		894		281		194		167		2724		8412		340		
	11		894		279		193		170		3420		9067		340		
	12		893		281		198		171		3518		8849		432		
	13		892		281		198		171		3951		9594		426		
	14		891		280		198		176		4045		9426		434		
	15		890		280		194		178		4203		9583		437		
	16		905		277		200		180		4149		9129		404		
	17		912		262		202		204		4015		7200		321		
	18		914		256		195		208		3538		2678		119		
	19		911		257		194		226		3625		96		0		
	20		907		255		203		226		3708		0		0		
	21		909		254		212		226		3876		0		0		
	22		936		249		212		208		4259		0		0		
	23		938		245		212		206		4978		0		0		
	24		924		241		212		206		4710		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5119		1135		7629		5886		2231						
	2		5449		1134		6619		5384		2139						
	3		5517		1134		6331		5068		2003						
	4		5289		1135		6388		4967		1968						
	5		4924		1136		6941		4971		2094						
	6		4229		1136		8301		5107		2667						
	7		3908		1137		9524		5820		3070						
	8		5187		1138		9905		5310		2903						
	9		9935		1138		7001		3895		2455						
	10		13012		1137		5348		2570		2113						
	11		14363		1137		5262		1430		1919						
	12		14341		1137		5149		1437		1976						
	13		15515		1136		4987		558		1788						
	14		15450		1135		5315		671		1907						
	15		15765		1135		5345		1153		1801						
	16		15246		1135		5796		1831		1990						
	17		13116		1135		7187		2630		2333						
	18		7908		1135		9243		5505		3306						
	19		5308		1136		10997		7018		3339						
	20		5263		1137		11192		7184		3233						
	21		5440		1137		10375		6835		3147						
	22		5829		1139		9611		6162		2815						
	23		6543		1140		8219		5098		2607						
	24		6258		1137		7650		4477		2384						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
