04/04/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		920		229		215		179		3984		0		0		
	2		914		231		215		181		3941		0		0		
	3		923		230		215		190		3881		0		0		
	4		924		232		215		191		3939		0		0		
	5		924		235		215		193		3722		0		0		
	6		926		235		215		200		3338		0		0		
	7		922		238		216		200		3119		113		0		
	8		913		239		215		216		2791		3288		64		
	9		912		239		213		193		2521		7972		288		
	10		910		221		212		155		2256		9389		353		
	11		908		214		208		165		2258		9574		366		
	12		909		216		212		154		2363		8994		362		
	13		908		221		215		157		2482		8387		358		
	14		907		236		216		157		3094		7588		363		
	15		904		256		216		156		3853		7161		360		
	16		904		259		217		156		3966		7450		352		
	17		905		280		215		156		3910		7674		340		
	18		906		280		216		195		3914		5584		272		
	19		902		280		217		231		3574		1826		81		
	20		894		278		214		273		2720		6		0		
	21		881		281		210		222		2266		0		0		
	22		883		277		211		202		1884		0		0		
	23		899		277		211		201		1910		0		0		
	24		888		273		212		202		1844		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5492		2273		4655		5762		1365						
	2		5448		2273		4322		5556		1143						
	3		5404		2272		4794		5140		851						
	4		5465		2272		4865		4772		823						
	5		5254		2273		4851		4369		1213						
	6		4877		2275		5239		4651		1356						
	7		4807		2275		5591		4841		1460						
	8		7727		2276		4974		2903		1191						
	9		12338		2275		3999		17		889						
	10		13496		2276		4148		-884		681						
	11		13694		2274		4073		-1116		567						
	12		13208		2273		4028		-1011		477						
	13		12728		2272		3785		-577		392						
	14		12561		2271		3666		-547		378						
	15		12907		2270		3285		-652		418						
	16		13303		2271		3291		-865		494						
	17		13480		2271		3435		-512		719						
	18		11367		2273		3893		1837		1251						
	19		7111		2273		5351		5132		2064						
	20		4385		2273		6656		7045		3063						
	21		3825		2272		7405		6998		2911						
	22		3422		2271		7349		6959		2536						
	23		3462		2271		6517		6957		2141						
	24		3384		2271		6293		6318		1870						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
