05/24/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		941		328		204		338		3082		0		0		
	2		941		331		204		337		3092		0		0		
	3		942		328		204		336		3079		0		0		
	4		944		328		204		334		3031		0		0		
	5		945		326		203		333		2750		0		0		
	6		944		328		202		333		2050		0		0		
	7		943		334		204		345		1519		1996		68		
	8		940		333		204		346		914		5578		302		
	9		937		334		204		343		548		6959		369		
	10		934		312		204		342		545		7632		371		
	11		931		313		204		342		705		8192		378		
	12		929		310		203		344		647		8708		377		
	13		926		308		203		342		429		9899		376		
	14		924		309		203		342		389		10607		376		
	15		923		314		202		343		505		10826		367		
	16		922		324		202		352		739		10572		329		
	17		919		332		202		354		1045		10001		230		
	18		917		329		203		354		1707		8482		213		
	19		918		331		203		354		2440		4592		121		
	20		921		330		204		354		2794		749		9		
	21		922		322		203		355		2836		0		0		
	22		927		299		203		354		2630		0		0		
	23		929		301		202		346		2583		0		0		
	24		932		305		203		345		2237		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4855		2281		2604		8523		2668						
	2		4869		2281		2338		8280		2183						
	3		4853		2280		2048		7942		2116						
	4		4803		2280		1784		7766		2145						
	5		4516		2279		1827		7810		2192						
	6		3853		2280		1915		8205		2273						
	7		5409		2280		1895		7034		1574						
	8		8618		2280		1843		4149		1085						
	9		9695		2281		2027		2592		906						
	10		10338		2282		1952		1754		841						
	11		11066		2282		1928		945		850						
	12		11518		2282		1941		750		896						
	13		12484		2282		2012		314		922						
	14		13150		2282		2160		439		954						
	15		13481		2282		2281		908		1231						
	16		13441		2281		2472		1928		1423						
	17		13082		2281		3352		2593		1894						
	18		12204		2281		3894		4152		2461						
	19		8961		2281		4986		7018		3126						
	20		5360		2281		6505		9143		3476						
	21		4607		2280		6593		9933		3556						
	22		4376		2281		6350		9644		3578						
	23		4324		2281		5554		9381		2968						
	24		3983		2281		4540		9175		2718						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
