01/02/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		650		302		232		208		3377		0		0		
	2		652		300		232		184		2804		0		0		
	3		651		300		231		159		2364		0		0		
	4		652		296		231		200		2415		0		0		
	5		653		296		231		209		2485		0		0		
	6		653		304		231		238		2800		0		0		
	7		653		318		230		241		2934		0		0		
	8		653		316		228		231		2386		1269		0		
	9		652		314		227		214		1399		4792		137		
	10		650		311		223		205		815		6656		296		
	11		648		302		225		191		989		6527		319		
	12		647		305		226		144		1008		6953		323		
	13		644		310		227		150		946		6636		324		
	14		643		311		228		150		766		6641		315		
	15		643		307		228		209		566		5889		272		
	16		643		309		227		232		393		3617		174		
	17		645		322		226		270		358		516		78		
	18		646		326		222		312		370		0		74		
	19		646		324		226		278		348		0		75		
	20		646		324		227		273		256		0		75		
	21		647		316		227		273		249		0		31		
	22		646		318		227		258		376		0		0		
	23		644		301		227		230		372		0		0		
	24		646		294		227		217		494		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4735		2272		5085		7005		1006						
	2		4139		2272		4674		7319		1129						
	3		3673		2274		4945		7332		929						
	4		3760		2273		5145		6968		965						
	5		3839		2273		5608		6860		1194						
	6		4190		2274		5295		7282		1856						
	7		4350		2274		5888		8186		2227						
	8		5084		2273		5911		8292		2524						
	9		7735		2274		5725		7120		1613						
	10		9155		2273		5478		5669		1174						
	11		9202		2273		4919		4963		1269						
	12		9606		2273		5380		4407		839						
	13		9237		2274		5566		4691		628						
	14		9055		2274		5805		4697		772						
	15		8113		2273		6265		4908		1038						
	16		5595		2273		7625		6086		1782						
	17		2417		2274		8979		8608		2731						
	18		1923		2273		10022		9827		3348						
	19		1870		2273		10082		9974		3466						
	20		1773		2273		10211		9443		3536						
	21		1712		2274		10010		9204		3302						
	22		1792		2273		9809		8706		2879						
	23		1741		2270		9308		8136		2438						
	24		1846		2270		8480		7658		2020						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
