12/15/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		756		339		210		256		3896		0		0		
	2		755		342		209		256		3667		0		0		
	3		755		337		209		256		3471		0		0		
	4		755		341		209		256		3185		0		0		
	5		755		341		209		261		2953		0		0		
	6		755		351		207		290		2887		0		0		
	7		755		367		205		331		2946		4		0		
	8		756		365		207		332		2953		1675		0		
	9		755		366		209		286		2998		5533		62		
	10		754		359		209		266		2960		7098		255		
	11		755		357		209		259		2914		7204		335		
	12		753		365		209		257		3026		7182		362		
	13		752		362		209		275		2752		7212		386		
	14		752		364		208		283		2724		6849		376		
	15		752		353		205		299		2801		6611		333		
	16		753		356		205		322		2844		4034		197		
	17		754		357		204		339		3050		386		0		
	18		755		355		208		389		2965		0		0		
	19		755		351		207		356		2512		0		0		
	20		756		358		207		350		1725		0		0		
	21		756		358		206		339		1314		0		0		
	22		756		355		206		338		1044		0		0		
	23		756		338		205		337		1063		0		0		
	24		757		329		206		285		813		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5433		1136		7081		5787		1904						
	2		5206		1136		6465		6022		1728						
	3		5004		1137		6506		6152		1439						
	4		4721		1137		6507		6344		1400						
	5		4494		1137		6704		6434		1416						
	6		4463		1137		6793		6639		1571						
	7		4608		1138		6926		6961		1738						
	8		6288		1137		6418		6185		1766						
	9		10209		1137		4693		3481		1667						
	10		11901		1138		4174		1917		1385						
	11		12032		1137		4267		1511		1097						
	12		12153		1129		4630		1143		812						
	13		11948		1104		4660		1231		793						
	14		11556		1102		5127		1485		761						
	15		11354		1102		5207		1932		1032						
	16		8712		1101		5825		4106		1988						
	17		5090		1102		8474		6573		2915						
	18		4663		1103		9507		8623		3294						
	19		4173		1103		9678		9440		3289						
	20		3386		1102		10252		9355		3501						
	21		2964		1104		10537		9191		3383						
	22		2689		1104		10331		8967		3091						
	23		2689		1105		9754		8427		2414						
	24		2380		1105		9375		8046		1795						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
