11/19/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		731		326		231		235		1022		0		0		
	2		731		325		232		229		1519		0		0		
	3		730		328		233		229		1768		0		0		
	4		730		326		232		230		2033		0		0		
	5		733		332		232		236		1743		0		0		
	6		736		338		232		259		1472		0		0		
	7		736		353		229		271		1685		162		0		
	8		737		351		219		291		1780		2140		0		
	9		737		352		223		275		1646		3931		89		
	10		735		349		223		232		2018		4574		370		
	11		734		348		222		226		2054		4818		123		
	12		733		347		221		226		2187		5258		25		
	13		733		349		222		221		2401		5597		0		
	14		733		348		222		221		2398		5391		0		
	15		731		344		227		232		2157		4435		0		
	16		735		349		223		253		2241		2367		0		
	17		788		349		214		302		2866		233		0		
	18		790		353		216		302		2347		0		0		
	19		790		348		216		300		2110		0		0		
	20		791		350		217		281		2417		0		0		
	21		793		348		217		278		2604		0		0		
	22		793		351		216		255		2583		0		0		
	23		793		324		215		254		2463		0		0		
	24		794		311		216		253		2188		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2504		1105		8705		6917		1655						
	2		2995		1104		8087		6526		1377						
	3		3247		1105		7736		6235		1310						
	4		3508		1105		7446		6091		1329						
	5		3232		1104		7955		5985		1696						
	6		2991		1103		8867		6554		2077						
	7		3436		1104		9856		7487		1920						
	8		5518		1104		9449		6856		1800						
	9		7252		1104		9240		5695		1372						
	10		8501		1103		8338		5486		1096						
	11		8526		1103		8151		5637		1120						
	12		8998		1103		8010		5488		947						
	13		9523		1102		7880		5449		915						
	14		9314		1100		7956		5844		1257						
	15		8126		1100		8701		6313		1565						
	16		6168		1103		9836		7022		2109						
	17		4752		1101		10302		8206		2757						
	18		3969		1100		11619		8953		3127						
	19		3727		1100		11729		8983		2956						
	20		4020		1100		11086		8858		2686						
	21		4202		1102		10414		8649		2406						
	22		4160		1103		9447		8411		2320						
	23		4011		1105		9078		7310		2111						
	24		3725		1106		8781		6543		1830						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
