03/07/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		888		278		201		154		1974		0		0		
	2		889		279		205		153		1679		0		0		
	3		889		278		205		152		1352		0		0		
	4		890		280		205		152		1122		0		0		
	5		889		278		205		153		1199		0		0		
	6		889		286		205		153		1515		0		0		
	7		889		298		205		154		1890		499		0		
	8		891		302		205		177		2116		2837		18		
	9		891		304		204		179		1896		4547		63		
	10		888		291		203		177		1850		5966		62		
	11		885		286		203		159		2115		7387		110		
	12		886		285		204		159		2133		8219		229		
	13		884		285		202		127		2135		8621		197		
	14		883		285		202		116		2474		8132		113		
	15		883		283		202		116		2487		7446		68		
	16		883		285		203		111		2645		6430		66		
	17		882		300		202		169		2582		3459		66		
	18		884		302		203		175		2401		487		24		
	19		886		300		202		225		2302		0		0		
	20		887		298		203		189		2103		0		0		
	21		888		296		203		177		1966		0		0		
	22		890		295		204		175		1980		0		0		
	23		891		287		203		175		1912		0		0		
	24		893		280		203		153		1803		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3459		2258		7564		6835		823						
	2		3169		2258		7187		6712		814						
	3		2841		2257		7069		6565		852						
	4		2613		2258		7220		6636		711						
	5		2685		2258		7394		6757		535						
	6		3008		2258		7212		7082		625						
	7		3934		2258		6815		7416		526						
	8		6544		2258		5837		6244		607						
	9		8084		2258		4748		6175		671						
	10		9437		2258		3811		5003		952						
	11		11145		2256		3635		3419		673						
	12		12115		2256		3285		2725		488						
	13		12450		2255		3189		2307		405						
	14		12204		2255		3330		2115		370						
	15		11486		2256		3530		2957		349						
	16		10623		2256		3792		3477		687						
	17		7662		2256		5572		5053		1243						
	18		4477		2257		7116		7981		1728						
	19		3900		2257		8354		8446		2401						
	20		3655		2259		8539		8645		2228						
	21		3498		2257		8049		8995		2042						
	22		3512		2257		8109		8599		1538						
	23		3436		2256		7725		7857		1356						
	24		3300		2256		7250		7383		1143						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
