04/10/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		920		275		220		204		1086		0		0		
	2		920		275		220		204		1150		0		0		
	3		921		279		221		204		1154		0		0		
	4		920		278		222		204		1125		0		0		
	5		920		268		222		203		1140		0		0		
	6		921		272		221		217		1037		0		0		
	7		921		273		214		228		946		59		0		
	8		921		275		214		230		637		1437		0		
	9		920		278		211		226		562		3388		0		
	10		866		262		211		172		846		4996		0		
	11		890		254		212		165		792		5924		0		
	12		871		254		215		165		806		6683		0		
	13		890		259		218		204		1390		6828		0		
	14		850		259		218		204		1388		6760		0		
	15		848		255		217		168		1369		6337		0		
	16		845		270		219		168		1478		5464		0		
	17		847		293		220		179		1643		4252		0		
	18		872		293		220		228		1368		2856		0		
	19		866		295		220		241		1383		1113		0		
	20		847		295		221		240		1542		6		0		
	21		845		296		221		239		1608		0		0		
	22		876		297		220		216		1725		0		0		
	23		919		292		219		209		1736		0		0		
	24		917		286		220		201		2255		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2668		2265		7132		6866		1095						
	2		2732		2264		7216		6115		991						
	3		2740		2264		7067		5903		843						
	4		2709		2263		6949		5870		828						
	5		2712		2262		7224		5793		883						
	6		2628		2262		7249		6499		1123						
	7		2641		2262		7171		7436		1447						
	8		3714		2262		7754		6502		1261						
	9		5585		2262		6823		5459		1230						
	10		7353		2263		6003		4633		940						
	11		8238		2263		5452		3850		968						
	12		8994		2263		5226		3307		933						
	13		9788		2263		4777		2559		877						
	14		9680		2263		4437		2724		967						
	15		9194		2261		4226		2952		984						
	16		8445		2259		4348		3548		992						
	17		7434		2260		4837		4465		1197						
	18		5837		2260		5635		5714		1664						
	19		4117		2260		6521		7105		2254						
	20		3152		2261		7275		8078		2795						
	21		3179		2261		7497		8251		2686						
	22		3300		2261		7188		8060		2278						
	23		3342		2262		7079		7552		1658						
	24		3845		2263		6582		6977		1108						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
