06/02/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		924		276		198		368		1450		0		16		
	2		926		274		198		360		1419		0		16		
	3		927		276		197		357		1232		0		15		
	4		928		275		198		355		938		0		14		
	5		928		282		198		354		671		0		13		
	6		928		301		197		354		645		13		12		
	7		925		319		196		358		606		1273		12		
	8		888		311		196		354		423		4566		12		
	9		897		308		198		357		349		6009		10		
	10		913		291		195		356		319		5618		35		
	11		902		287		194		357		258		6609		56		
	12		906		291		196		354		214		7607		35		
	13		875		296		197		346		159		7938		46		
	14		903		314		197		355		146		8242		47		
	15		884		312		197		378		229		8152		123		
	16		885		308		197		383		282		7396		73		
	17		893		323		197		384		457		6412		26		
	18		896		321		197		422		642		4530		16		
	19		895		322		197		421		791		2205		16		
	20		898		320		200		422		1112		534		16		
	21		901		318		199		423		1232		0		16		
	22		906		313		199		389		1037		0		16		
	23		913		300		198		376		921		0		16		
	24		920		290		199		370		931		0		15		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3216		2271		6875		9213		2208						
	2		3192		2271		6227		8848		2099						
	3		2999		2271		6074		8795		1673						
	4		2720		2271		5988		8768		1693						
	5		2442		2270		6182		8887		1749						
	6		2436		2271		6640		8920		1932						
	7		3522		2272		6963		8385		1777						
	8		6600		2273		6049		6731		1862						
	9		8085		2273		6148		5605		1929						
	10		7669		2269		6935		5558		1883						
	11		8556		2274		7367		4898		2053						
	12		9497		2272		8463		4675		1739						
	13		9777		2268		8934		5069		1852						
	14		10108		2266		9861		4840		2259						
	15		10211		2265		11016		4707		2486						
	16		9473		2266		11975		4968		3041						
	17		8663		2267		12710		5322		3683						
	18		7072		2268		13789		6256		4289						
	19		4912		2270		15646		6999		4357						
	20		3543		2266		15742		7774		4375						
	21		3084		2263		15560		8013		4322						
	22		2836		2264		14802		8147		3824						
	23		2696		2265		12899		8261		3304						
	24		2701		2267		10168		8749		3163						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
