02/17/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		914		350		184		162		612		0		0		
	2		916		348		184		163		612		0		0		
	3		916		346		185		165		612		0		0		
	4		918		348		184		163		612		0		0		
	5		918		342		185		159		612		0		0		
	6		879		340		181		164		612		0		0		
	7		755		343		183		178		612		117		0		
	8		759		345		182		179		612		3151		0		
	9		760		352		182		165		612		7695		69		
	10		758		343		183		116		612		9227		168		
	11		757		338		183		119		612		9467		210		
	12		755		338		182		121		612		9421		210		
	13		756		342		182		121		612		9274		210		
	14		756		341		181		123		612		9442		209		
	15		756		342		180		123		612		9266		94		
	16		755		334		180		163		612		8152		126		
	17		755		346		179		177		612		3901		53		
	18		758		346		180		235		612		235		0		
	19		758		345		180		200		612		0		0		
	20		758		338		180		187		612		1		0		
	21		760		333		179		170		612		0		0		
	22		767		338		179		148		612		0		0		
	23		761		335		178		113		612		0		0		
	24		760		336		178		115		612		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2185		1646		7320		8008		847						
	2		2186		1773		6974		7742		780						
	3		2187		1986		7241		7265		546						
	4		2187		2165		7172		7035		543						
	5		2176		2234		7498		7075		592						
	6		2136		2231		7558		7295		1187						
	7		2187		2229		8858		6506		1981						
	8		5228		2243		7676		5346		1809						
	9		9834		2258		5664		3127		1057						
	10		11406		2259		4600		1797		1006						
	11		11685		2259		4606		1328		738						
	12		11639		2260		4889		918		673						
	13		11496		2261		4876		945		709						
	14		11665		2263		4915		924		823						
	15		11373		2259		5227		1511		796						
	16		10322		2262		5944		2398		1024						
	17		6023		2263		8834		4963		1525						
	18		2366		2263		12074		6483		2604						
	19		2059		2260		12886		7381		2799						
	20		2076		2262		11754		8142		2597						
	21		2055		2261		11435		7901		2414						
	22		2044		2263		10896		7887		1837						
	23		1998		2264		9399		8321		1261						
	24		2001		2264		8128		8180		1216						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
