11/03/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		275		302		237		248		600		0		0		
	2		275		303		237		229		675		0		0		
	3		275		303		237		229		685		0		0		
	4		275		307		237		230		657		0		0		
	5		276		315		238		230		659		0		0		
	6		275		324		238		253		646		0		0		
	7		275		333		238		256		628		532		0		
	8		275		326		240		239		503		4332		0		
	9		274		321		240		212		464		7330		0		
	10		274		330		240		192		443		8417		20		
	11		272		343		237		187		531		8420		230		
	12		271		349		235		185		604		8541		417		
	13		271		348		234		184		616		8625		399		
	14		270		348		234		187		604		8679		408		
	15		270		339		233		191		564		8190		376		
	16		271		332		236		200		493		5399		268		
	17		272		331		232		248		585		1080		23		
	18		275		331		236		272		594		0		0		
	19		276		331		236		295		615		0		0		
	20		276		328		235		288		261		0		0		
	21		276		328		233		275		643		0		0		
	22		276		330		234		237		619		0		0		
	23		276		327		231		233		604		0		0		
	24		317		315		231		221		528		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1610		1114		9931		4899		2181						
	2		1678		1113		9488		5181		1675						
	3		1687		1114		9109		5241		1720						
	4		1663		1116		9233		5160		1622						
	5		1672		1114		9357		5232		1574						
	6		1689		1113		9846		5057		1785						
	7		2262		1114		9521		5317		1844						
	8		5913		1114		7901		3809		1604						
	9		8841		1113		6315		2408		1242						
	10		9915		1113		5026		2287		1086						
	11		10221		1113		4641		2089		1019						
	12		10601		1112		4116		2449		919						
	13		10677		1112		4277		2514		961						
	14		10730		1112		4516		2939		988						
	15		10163		1112		5089		3390		1350						
	16		7198		1112		7773		4340		1964						
	17		2771		1111		11602		5963		2407						
	18		1678		1111		12892		6973		3077						
	19		1713		1110		13202		6936		2869						
	20		1349		1110		14328		5224		3117						
	21		1716		1110		13019		5965		2429						
	22		1656		1109		12507		6205		1830						
	23		1629		1110		11196		6353		1524						
	24		1571		1110		10513		6008		1337						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
