12/19/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		750		290		219		276		1116		0		0		
	2		750		289		219		277		976		0		0		
	3		751		290		219		276		1243		0		0		
	4		750		290		218		276		1059		0		0		
	5		752		295		219		275		892		0		0		
	6		752		299		218		274		797		0		0		
	7		752		313		213		277		533		0		0		
	8		752		314		215		268		526		1720		0		
	9		750		312		213		265		687		5948		23		
	10		720		309		213		265		687		7637		192		
	11		732		318		213		260		777		7133		365		
	12		745		327		213		214		800		7592		408		
	13		746		332		214		202		818		7436		399		
	14		749		336		215		246		811		7468		385		
	15		748		327		215		249		694		6909		355		
	16		748		329		215		272		700		3826		219		
	17		749		329		214		277		756		372		0		
	18		749		315		215		315		724		0		0		
	19		749		314		214		322		757		0		0		
	20		750		315		217		284		683		0		0		
	21		750		308		217		278		720		0		0		
	22		751		304		216		277		899		0		0		
	23		751		298		217		276		942		0		0		
	24		750		287		217		272		947		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2609		1302		10669		7225		1464						
	2		2469		1308		10144		7140		1394						
	3		2737		1388		9584		6899		1424						
	4		2552		1501		9725		6889		1288						
	5		2392		1509		10110		6920		1600						
	6		2299		1515		10307		7346		2432						
	7		2077		1504		11639		7971		3330						
	8		3794		1493		11377		8019		3103						
	9		8198		1493		9406		5712		2161						
	10		10024		1495		8594		3511		2085						
	11		9798		1494		8140		3385		1882						
	12		10298		1495		7754		2833		1473						
	13		10147		1496		7502		2798		1396						
	14		10210		1495		7340		2898		1530						
	15		9498		1489		7728		3707		1535						
	16		6309		1489		10005		5283		2151						
	17		2697		1487		12284		7605		2544						
	18		2300		1487		13175		9278		3225						
	19		2338		1487		12598		9530		3678						
	20		2233		1486		12386		9407		3834						
	21		2257		1490		12199		9222		3572						
	22		2429		1489		11655		8959		3084						
	23		2465		1490		10719		8486		2742						
	24		2455		1489		9956		7898		2170						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
