05/25/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		934		323		203		346		2133		0		0		
	2		935		330		203		346		2196		0		0		
	3		935		329		204		343		1939		0		0		
	4		935		328		202		341		1563		0		0		
	5		934		331		204		341		1170		0		0		
	6		932		331		204		338		947		0		0		
	7		930		332		203		339		894		2056		82		
	8		928		330		203		339		882		5756		304		
	9		924		325		191		339		984		6970		363		
	10		920		318		190		339		1213		8420		364		
	11		916		315		191		348		1178		9131		371		
	12		912		299		191		348		749		10564		372		
	13		910		294		186		347		576		11211		371		
	14		909		302		185		347		327		11268		349		
	15		906		295		185		354		259		11130		369		
	16		904		297		184		355		293		10697		366		
	17		904		313		185		363		389		9920		353		
	18		906		316		185		367		887		8234		333		
	19		909		317		185		369		1541		4590		229		
	20		912		320		186		387		1686		760		23		
	21		915		331		189		387		1892		0		0		
	22		917		328		197		365		1845		0		0		
	23		919		327		196		356		1831		0		0		
	24		918		326		196		351		1702		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3903		2280		3722		9379		2068						
	2		3973		2280		3095		9046		1951						
	3		3711		2278		3070		9205		1619						
	4		3329		2277		2970		9268		1595						
	5		2939		2277		3097		9538		1547						
	6		2750		2276		3454		9419		1666						
	7		4837		2274		2785		8137		1457						
	8		8742		2275		2392		4899		1262						
	9		10096		2274		2415		3735		1141						
	10		11764		2274		2361		2305		1104						
	11		12450		2275		2437		1796		1284						
	12		13435		2275		2696		1563		1333						
	13		13896		2275		3117		1870		1426						
	14		13689		2274		3472		3214		1537						
	15		13497		2274		3940		4922		1489						
	16		13096		2274		4836		5852		1810						
	17		12426		2274		6313		6346		2343						
	18		11228		2275		8013		7091		2888						
	19		8140		2275		10085		8229		3762						
	20		4273		2275		11657		9831		4178						
	21		3678		2275		11451		10123		4105						
	22		3613		2276		10409		10317		3580						
	23		3592		2276		8920		10009		2879						
	24		3454		2275		7504		9453		2463						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
