04/18/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		915		270		230		253		2921		0		0		
	2		910		273		231		255		2660		0		0		
	3		911		272		231		257		2818		0		0		
	4		911		274		231		262		2633		0		0		
	5		910		274		231		276		2370		0		0		
	6		911		274		231		278		1934		0		0		
	7		911		276		232		278		1898		270		0		
	8		911		257		231		280		2029		2763		46		
	9		908		236		229		268		2290		5375		109		
	10		901		222		229		226		2245		7183		189		
	11		889		217		229		222		2405		8525		238		
	12		900		220		229		222		2581		8971		260		
	13		898		224		228		216		2981		9307		46		
	14		886		247		228		212		3389		9074		55		
	15		891		250		227		221		3734		8425		0		
	16		890		250		228		232		3670		8101		0		
	17		885		269		228		238		3819		7956		0		
	18		883		274		226		260		3873		6467		0		
	19		895		269		230		262		3968		2509		0		
	20		893		273		231		261		4001		162		0		
	21		894		273		230		262		3825		0		0		
	22		901		274		230		244		3420		0		0		
	23		904		268		229		241		3641		0		0		
	24		905		271		229		257		3596		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4552		2258		4062		6381		2236						
	2		4293		2258		3581		6239		2336						
	3		4453		2257		3383		5784		2235						
	4		4274		2258		3177		5872		2185						
	5		4023		2257		3128		6064		2334						
	6		3590		2257		3239		6647		2445						
	7		3863		2257		3552		6532		2359						
	8		6515		2257		2537		5197		2121						
	9		9415		2257		2037		4039		1498						
	10		11195		2257		1708		2524		1450						
	11		12725		2254		1751		863		1232						
	12		13383		2254		1699		287		1098						
	13		13900		2254		1406		-112		1134						
	14		14091		2253		1377		-402		932						
	15		13747		2254		1364		-443		985						
	16		13371		2255		1558		-102		1120						
	17		13395		2257		1791		306		1187						
	18		11982		2258		2400		2005		1619						
	19		8133		2255		3230		5119		2500						
	20		5822		2255		3695		7424		3332						
	21		5447		2258		3977		8075		3285						
	22		5031		2260		3977		8112		3006						
	23		5245		2261		3104		7760		2883						
	24		5220		2260		2862		7113		2491						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
