10/20/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		977		341		230		266		3262		0		0		
	2		979		359		230		264		3087		0		0		
	3		979		360		230		247		3092		0		0		
	4		980		359		230		246		3032		0		0		
	5		982		360		230		244		3128		0		0		
	6		983		368		230		257		3253		0		0		
	7		984		379		227		263		2859		0		0		
	8		983		381		226		260		2818		1105		0		
	9		983		383		227		226		2637		5449		69		
	10		980		383		227		219		2543		8359		195		
	11		976		376		226		216		1969		9221		228		
	12		972		375		228		214		1410		9631		236		
	13		968		377		221		215		1283		9546		239		
	14		965		380		218		213		1261		9658		238		
	15		962		379		218		211		1512		9630		227		
	16		961		378		220		211		1672		9144		197		
	17		961		380		216		210		1765		6836		149		
	18		964		381		214		250		2175		2077		41		
	19		967		381		220		282		2371		90		0		
	20		969		379		225		283		2327		0		0		
	21		970		376		224		273		2212		0		0		
	22		970		375		223		274		1900		0		0		
	23		970		364		219		255		1488		0		0		
	24		969		354		220		252		1288		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5034		1136		6234		6745		1299						
	2		4878		1137		5519		6864		1274						
	3		4867		1137		5232		6621		1292						
	4		4804		1137		5083		6534		1288						
	5		4902		1137		5135		6353		1293						
	6		5047		1137		5067		6414		1338						
	7		4671		1137		5158		7308		1472						
	8		5773		1137		4957		6881		1275						
	9		9973		1137		3134		4935		1168						
	10		12907		1138		2077		3147		1054						
	11		13213		1139		1993		2552		1032						
	12		13066		1139		1988		2659		935						
	13		12848		1138		2258		2638		947						
	14		12933		1138		2647		2609		957						
	15		13140		1138		3318		2550		1024						
	16		12783		1137		4306		3203		954						
	17		10517		1136		6567		4434		1330						
	18		6100		1136		9844		6228		2105						
	19		4311		1136		11013		7077		3074						
	20		4143		1135		10842		7575		3111						
	21		4015		1135		10077		8043		2724						
	22		3702		1135		9621		8052		2341						
	23		3255		1136		9521		7650		1513						
	24		3042		1136		8577		7321		1305						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
