05/04/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		934		362		214		304		3897		0		0		
	2		932		365		214		300		4299		0		0		
	3		934		359		213		312		4430		0		0		
	4		932		354		213		312		4586		0		0		
	5		931		356		213		309		4449		0		0		
	6		933		352		213		312		3710		0		0		
	7		928		352		212		308		3177		1238		13		
	8		922		352		210		306		2167		5849		251		
	9		919		353		211		308		1171		8918		364		
	10		921		335		211		306		549		10090		363		
	11		918		336		210		310		380		10679		375		
	12		908		331		212		308		491		10913		377		
	13		912		324		211		307		482		11155		378		
	14		900		327		210		308		748		11133		378		
	15		903		330		211		310		1102		11035		377		
	16		910		333		210		309		1456		10650		373		
	17		907		353		212		312		2060		9940		369		
	18		899		350		213		315		2398		8206		328		
	19		898		353		213		317		2578		3967		188		
	20		907		330		214		318		2986		499		0		
	21		903		282		212		321		3093		123		0		
	22		908		281		212		319		3167		17		0		
	23		911		279		212		311		2497		0		0		
	24		904		273		212		312		1946		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5677		2274		2771		6971		2496						
	2		6076		2274		2210		6354		2404						
	3		6215		2275		1882		6234		2302						
	4		6361		2275		1871		5912		2301						
	5		6221		2276		2001		6013		2529						
	6		5488		2277		2256		7010		2915						
	7		6228		2275		2218		7220		2822						
	8		10058		2276		1952		4778		2165						
	9		12244		2277		2146		2802		1757						
	10		12775		2276		2259		1825		1698						
	11		13208		2275		2154		1249		1738						
	12		13540		2274		2291		936		1719						
	13		13770		2274		2580		934		1687						
	14		14004		2273		2496		1404		1735						
	15		14267		2273		2435		1840		1854						
	16		14241		2274		2781		2730		1915						
	17		14153		2275		3480		3259		2148						
	18		12709		2275		4685		4718		2392						
	19		8514		2276		6600		7301		3025						
	20		5255		2275		8090		8120		4091						
	21		4934		2272		7828		8529		4327						
	22		4904		2273		6844		8732		3823						
	23		4177		2275		5219		9324		3711						
	24		3614		2275		4417		9309		3214						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
