05/08/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		916		330		215		307		1546		0		0		
	2		915		333		216		304		1473		0		0		
	3		921		331		216		299		1425		0		0		
	4		921		337		216		299		1405		0		0		
	5		922		332		216		299		1385		0		0		
	6		888		335		215		282		1175		0		0		
	7		855		338		216		287		1038		1264		4		
	8		864		337		215		287		884		5619		224		
	9		851		339		215		287		862		8379		348		
	10		837		314		215		287		839		10069		366		
	11		836		303		213		286		858		10778		232		
	12		832		318		202		286		781		11026		340		
	13		845		316		206		287		644		11021		374		
	14		834		313		210		287		485		10823		376		
	15		830		313		211		287		485		10709		376		
	16		823		324		213		292		781		10387		371		
	17		828		339		213		293		1129		9542		368		
	18		831		337		214		298		1334		7507		367		
	19		857		339		215		310		1492		3526		367		
	20		876		341		216		311		1748		310		9		
	21		877		341		215		313		2134		0		0		
	22		902		340		215		304		2334		0		0		
	23		899		338		209		286		2497		0		0		
	24		911		338		209		285		2445		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3310		2274		4832		10000		2726						
	2		3218		2275		3702		10280		2631						
	3		3154		2275		3398		9877		2520						
	4		3139		2273		2931		9958		2444						
	5		3114		2271		2947		9871		2592						
	6		2863		2270		3351		10343		2650						
	7		4001		2271		3230		10185		2412						
	8		8430		2271		3396		7034		1748						
	9		11281		2270		3369		4354		1755						
	10		12928		2272		2890		3422		1681						
	11		13506		2272		3000		3027		1757						
	12		13785		2273		2986		3613		1814						
	13		13693		2273		3623		4241		1881						
	14		13329		2274		4435		4921		2133						
	15		13211		2269		5306		5641		2137						
	16		13191		2268		5492		5816		2893						
	17		12713		2269		6164		6072		3516						
	18		10888		2269		7546		7494		3714						
	19		7106		2270		9515		8764		4476						
	20		3811		2272		11359		9591		4400						
	21		3852		2272		10576		9839		4212						
	22		4061		2272		9382		9423		4025						
	23		4197		2273		7613		9465		3397						
	24		4154		2273		5778		9391		3244						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
