04/30/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		921		295		218		338		4274		0		0		
	2		921		294		219		333		4598		0		0		
	3		922		297		219		330		4619		0		0		
	4		923		296		219		330		4754		0		0		
	5		925		301		219		330		4764		0		0		
	6		925		299		219		328		4981		0		0		
	7		921		298		218		330		4663		500		0		
	8		922		296		217		324		4481		3714		0		
	9		916		298		209		324		4482		6836		0		
	10		913		283		214		322		4549		7592		0		
	11		896		271		214		329		4586		7963		0		
	12		896		275		213		328		4566		7578		0		
	13		909		275		199		326		4221		8160		75		
	14		910		288		190		325		4204		8846		316		
	15		899		286		189		327		4456		9168		355		
	16		875		301		200		319		4550		8318		359		
	17		875		325		208		320		4851		7404		253		
	18		878		322		217		319		5164		6748		206		
	19		880		325		217		321		4803		3381		117		
	20		913		318		218		322		4630		310		0		
	21		921		310		218		330		4619		0		0		
	22		922		309		218		334		4412		0		0		
	23		924		307		218		325		4333		0		0		
	24		928		308		218		325		4514		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		6024		2273		4672		6876		2550						
	2		6343		2273		3547		6674		2531						
	3		6364		2273		2803		6593		2555						
	4		6498		2274		2575		6500		2468						
	5		6514		2274		2412		6821		2468						
	6		6728		2274		2394		6949		2762						
	7		6931		2272		2572		6994		2844						
	8		9954		2273		2281		5012		2413						
	9		13066		2273		1929		2970		1936						
	10		13872		2273		1874		1834		1789						
	11		14260		2274		2164		1053		1735						
	12		13856		2274		2202		1123		1739						
	13		14166		2275		2418		903		1732						
	14		15078		2275		2244		665		1593						
	15		15680		2275		2341		722		1725						
	16		14922		2275		2539		1733		2260						
	17		14237		2275		3205		2814		2542						
	18		13854		2275		4830		3090		2600						
	19		10044		2275		5652		6164		3315						
	20		6711		2276		6268		8568		3817						
	21		6360		2276		6371		8597		3996						
	22		6156		2276		5661		8683		3566						
	23		6068		2275		5367		8092		3105						
	24		6254		2274		4756		7232		2732						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
