10/11/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		941		297		203		221		1211		0		0		
	2		944		304		203		222		1338		0		0		
	3		945		311		203		223		1361		0		0		
	4		945		317		203		224		1146		0		0		
	5		945		297		202		225		984		0		0		
	6		946		302		203		227		874		0		0		
	7		946		316		202		243		778		0		0		
	8		945		342		202		224		827		1685		0		
	9		946		354		203		224		686		6407		38		
	10		945		355		201		228		650		9292		122		
	11		946		352		203		226		723		10066		256		
	12		946		339		209		229		702		10155		376		
	13		943		356		210		227		675		10098		442		
	14		940		361		212		228		638		9982		447		
	15		940		362		211		226		640		9000		445		
	16		940		364		213		226		599		9245		449		
	17		943		365		212		229		457		6770		376		
	18		942		363		213		252		463		2418		149		
	19		943		364		213		251		482		90		0		
	20		946		357		213		251		519		0		0		
	21		950		342		218		253		467		0		0		
	22		950		331		218		231		531		0		0		
	23		968		310		218		238		529		0		0		
	24		975		304		218		250		519		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2843		1135		9204		5856		2251						
	2		2981		1135		8634		5740		1964						
	3		3014		1136		8009		5598		2092						
	4		2805		1136		8068		5717		2001						
	5		2624		1134		8483		5655		2254						
	6		2521		1134		9146		5947		2586						
	7		2465		1135		9961		6852		2958						
	8		4226		1135		9664		6589		2814						
	9		8858		1134		7786		4480		2081						
	10		11794		1134		6212		3326		1698						
	11		12772		1134		5901		3057		1413						
	12		12956		1134		5799		2975		1279						
	13		12951		1133		5780		3124		1234						
	14		12807		1132		6175		3446		1278						
	15		11824		1131		7416		3755		1357						
	16		12035		1132		8003		3347		1832						
	17		9353		1132		9841		4754		2109						
	18		4799		1131		12145		6590		3154						
	19		2343		1132		13245		8163		3406						
	20		2243		1133		13242		8250		3377						
	21		2189		1133		12009		8645		3228						
	22		2219		1133		11370		8281		2915						
	23		2221		1133		11053		7250		2670						
	24		2224		1134		10128		6661		2489						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
