06/11/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		815		336		194		333		2882		0		0		
	2		816		338		194		325		2817		0		0		
	3		818		337		194		324		2742		0		0		
	4		818		338		195		326		2484		0		0		
	5		821		341		189		327		2094		0		0		
	6		821		344		185		336		1758		14		0		
	7		822		359		185		344		1652		2028		90		
	8		818		360		185		338		1523		6341		226		
	9		813		353		184		346		1375		9035		251		
	10		809		334		184		346		1234		10152		268		
	11		809		333		185		345		1163		10746		356		
	12		806		341		184		345		1050		11003		376		
	13		802		342		184		344		1035		11100		372		
	14		800		342		186		343		1338		11053		370		
	15		799		340		186		342		1463		10889		367		
	16		796		347		186		343		2219		10491		367		
	17		793		362		186		355		2619		9702		357		
	18		797		362		186		406		2766		8241		345		
	19		799		363		187		408		2873		4811		268		
	20		821		362		188		406		2530		1031		61		
	21		842		355		189		394		1994		0		0		
	22		846		346		189		403		1795		0		0		
	23		850		332		188		381		1707		0		0		
	24		851		327		188		340		1897		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4529		2279		8063		8757		2477						
	2		4451		2277		7245		8666		1993						
	3		4381		2277		6697		8489		1638						
	4		4149		2275		6729		8460		1385						
	5		3754		2273		7072		8882		1161						
	6		3450		2273		7412		9216		1268						
	7		5256		2273		7259		8079		1334						
	8		9563		2272		6146		5955		1118						
	9		12262		2272		5839		4289		1125						
	10		13287		2272		6077		3725		1165						
	11		13915		2273		6209		3865		1287						
	12		14104		2272		7016		3985		1406						
	13		14155		2269		7089		4765		1869						
	14		14427		2270		7939		5010		2369						
	15		14378		2271		9711		4831		2630						
	16		14726		2272		11008		4579		2859						
	17		14415		2272		11942		4394		3339						
	18		13208		2273		13060		4927		3494						
	19		9990		2274		14309		6113		4090						
	20		5584		2274		15763		7286		4493						
	21		3788		2273		15732		8166		4151						
	22		3537		2274		14890		7986		3821						
	23		3425		2275		12588		8522		3016						
	24		3550		2274		9874		8824		2680						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
