05/03/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		927		352		223		316		4097		0		0		
	2		927		341		222		315		3957		0		0		
	3		927		315		222		315		3875		0		0		
	4		927		316		222		316		3584		0		0		
	5		927		324		222		312		3291		0		0		
	6		927		344		220		312		2832		0		0		
	7		928		358		218		317		2542		997		2		
	8		926		332		218		317		2311		4425		142		
	9		913		331		218		321		2170		5630		250		
	10		908		329		218		322		2193		6045		326		
	11		908		327		218		322		2335		7228		328		
	12		908		324		218		320		2784		7438		360		
	13		903		326		217		320		3077		7660		362		
	14		905		332		210		317		3242		7938		362		
	15		904		338		210		317		3579		8029		371		
	16		902		343		211		320		4088		7794		369		
	17		901		348		213		325		4147		8510		356		
	18		912		345		216		323		4062		8077		309		
	19		918		348		220		323		3912		3815		168		
	20		920		344		220		322		3316		365		0		
	21		930		341		216		324		2963		0		0		
	22		931		353		214		326		3190		0		0		
	23		933		360		214		320		4429		0		0		
	24		933		365		215		321		4205		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5879		2275		3124		7129		2541						
	2		5726		2276		2815		6889		2369						
	3		5617		2275		2455		6959		2218						
	4		5327		2276		2303		7063		2155						
	5		5039		2276		2304		7089		2253						
	6		4600		2276		2497		7151		2541						
	7		5361		2277		2381		6410		2217						
	8		8673		2277		1961		3533		1611						
	9		9833		2276		1771		2172		1270						
	10		10341		2275		1856		1218		1231						
	11		11666		2274		1755		-396		1215						
	12		12352		2274		1726		-1003		1186						
	13		12866		2274		1690		-1152		1061						
	14		13305		2274		1657		-1288		1151						
	15		13747		2273		1570		-1058		1196						
	16		14027		2275		1519		-367		1388						
	17		14800		2276		1581		331		1480						
	18		14243		2276		1935		1811		2130						
	19		9704		2275		2838		5913		3217						
	20		5487		2275		3774		8873		4046						
	21		4743		2275		4150		9579		4177						
	22		4981		2275		4171		9063		3541						
	23		6224		2275		3138		7906		2977						
	24		6007		2275		2745		7627		2539						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
