05/16/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		883		309		227		331		4049		0		0		
	2		895		309		227		333		3893		0		0		
	3		896		311		228		323		3960		0		0		
	4		897		313		227		313		3655		0		0		
	5		897		314		226		308		2864		0		0		
	6		896		315		227		317		2290		0		0		
	7		885		317		227		330		1968		1683		61		
	8		888		316		226		326		1414		6098		285		
	9		887		317		222		326		1095		8862		371		
	10		890		300		222		327		1014		9843		370		
	11		886		288		222		327		816		10653		365		
	12		879		286		221		326		818		10936		219		
	13		879		297		223		325		821		11206		367		
	14		872		294		221		326		982		10929		325		
	15		870		292		223		325		1118		10781		116		
	16		870		295		223		323		1405		9691		79		
	17		873		307		224		329		2407		8727		27		
	18		867		309		224		334		2093		7125		0		
	19		834		307		224		340		2232		3819		0		
	20		840		309		225		340		2725		426		0		
	21		856		301		225		340		2882		0		0		
	22		860		303		225		338		2907		0		0		
	23		867		306		225		331		2621		0		0		
	24		874		304		225		323		2386		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5790		1618		3058		8689		2566						
	2		5648		1617		2516		8503		2360						
	3		5708		1617		2013		8512		2221						
	4		5392		1620		2288		8431		2063						
	5		4593		1621		2661		8795		2037						
	6		4045		1621		2797		9209		2212						
	7		5471		1621		2523		8268		1828						
	8		9554		1619		1773		5237		1568						
	9		12081		1619		1881		2716		1380						
	10		12965		1618		1856		1624		1367						
	11		13556		1619		1866		1043		1253						
	12		13684		1620		1889		963		1287						
	13		14119		1621		1895		996		1271						
	14		13949		1621		2018		1606		1426						
	15		13725		1621		2217		2637		1412						
	16		12886		1620		2389		4363		1671						
	17		12894		1620		2421		4977		2142						
	18		10953		1620		3346		7219		2516						
	19		7756		1638		5102		8618		3371						
	20		4866		1650		6596		9455		4071						
	21		4572		1655		6819		9681		4114						
	22		4599		1720		5771		9814		3955						
	23		4336		1868		4938		9874		3326						
	24		4084		2018		3941		9603		3027						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
