04/24/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		922		294		229		258		3268		0		0		
	2		923		290		229		246		3254		0		0		
	3		923		292		229		279		3082		0		0		
	4		924		292		229		288		2710		0		0		
	5		925		289		229		287		2457		0		0		
	6		926		293		229		288		2374		0		0		
	7		925		294		228		292		1915		747		0		
	8		923		299		227		278		1282		5219		155		
	9		920		302		225		275		561		9226		345		
	10		914		288		222		264		525		10576		368		
	11		910		282		222		275		796		11192		372		
	12		909		282		224		278		287		11377		376		
	13		908		282		223		281		654		11372		384		
	14		906		283		221		270		828		11257		386		
	15		902		281		219		270		1178		11208		386		
	16		900		289		213		282		1541		10227		385		
	17		900		305		216		283		1793		9604		377		
	18		901		303		222		284		2253		8046		329		
	19		884		301		227		291		2614		3356		160		
	20		885		296		228		292		2841		197		8		
	21		887		260		228		286		3004		0		10		
	22		853		260		229		297		3031		0		10		
	23		863		261		227		285		3092		0		10		
	24		882		269		227		279		2780		0		10		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4935		2274		5131		6084		2584						
	2		4906		2274		4554		5682		2576						
	3		4768		2273		4532		5365		2340						
	4		4405		2273		4398		5548		2311						
	5		4147		2274		4228		5930		2467						
	6		4069		2274		3569		6925		2930						
	7		4401		2273		3395		7394		2982						
	8		8384		2274		2972		4997		2290						
	9		11854		2274		2169		2869		1940						
	10		13157		2274		2254		2090		1445						
	11		14048		2272		2059		1509		1433						
	12		13732		2272		2783		1674		1392						
	13		14104		2274		2542		1782		1779						
	14		14151		2275		3308		2113		1795						
	15		14445		2274		3814		2504		1915						
	16		13836		2276		4995		3444		1948						
	17		13479		2276		6055		4071		2109						
	18		12339		2276		6477		5381		2775						
	19		7833		2275		8561		7660		3761						
	20		4748		2276		10155		8799		4136						
	21		4642		2276		10022		8632		4163						
	22		4646		2274		9037		8236		3867						
	23		4706		2272		7941		7355		3653						
	24		4414		2275		6533		7294		3267						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
