03/03/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		999		255		214		161		1572		0		0		
	2		1000		255		215		162		1137		0		0		
	3		1000		255		214		162		970		0		0		
	4		1000		256		196		162		958		0		0		
	5		1000		256		196		161		1248		0		0		
	6		999		261		208		183		996		0		0		
	7		999		271		212		229		728		624		0		
	8		997		272		209		175		858		5258		36		
	9		995		271		208		165		667		9106		256		
	10		993		260		209		159		729		9640		358		
	11		958		246		201		160		707		9537		361		
	12		929		242		197		158		457		9811		329		
	13		933		223		196		155		275		9888		325		
	14		948		227		195		155		219		10151		360		
	15		958		244		196		154		68		10132		360		
	16		967		245		199		154		0		9225		353		
	17		969		253		200		155		0		5455		225		
	18		973		254		200		179		65		867		19		
	19		976		259		200		225		141		124		5		
	20		979		265		201		227		321		125		5		
	21		977		265		201		191		277		125		5		
	22		980		264		200		177		251		58		6		
	23		979		232		200		155		383		0		5		
	24		977		225		201		153		453		0		6		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3165		2266		6866		8178		846						
	2		2732		2265		6362		8526		826						
	3		2565		2265		6381		8298		814						
	4		2534		2265		6390		8237		823						
	5		2822		2266		6737		8176		830						
	6		2608		2265		8100		8275		1178						
	7		3063		2264		8536		9039		1623						
	8		7804		2264		6196		7359		1244						
	9		11669		2264		3551		5753		574						
	10		12347		2264		3226		4832		354						
	11		12170		2263		3251		4281		339						
	12		12124		2263		3225		3942		409						
	13		11995		2264		3517		3863		354						
	14		12254		2265		3619		3794		406						
	15		12113		2266		3743		4525		367						
	16		11139		2267		4327		5246		635						
	17		7246		2266		7035		7055		1196						
	18		2557		2264		10237		8919		2455						
	19		1930		2264		11421		9634		2687						
	20		2122		2265		10892		9612		2684						
	21		2041		2264		10640		9170		2489						
	22		1935		2265		10383		8793		2026						
	23		1923		2265		9635		8386		1452						
	24		1983		2266		8647		8314		944						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
