06/01/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		933		287		198		347		1947		0		0		
	2		934		286		198		347		1700		0		0		
	3		934		287		198		350		1527		0		0		
	4		936		286		199		352		1377		0		0		
	5		937		290		199		352		1203		0		0		
	6		865		300		198		351		1234		19		0		
	7		904		314		196		357		1310		1468		41		
	8		896		313		196		353		1183		4317		246		
	9		852		301		194		352		1023		7073		327		
	10		856		292		196		347		792		8853		366		
	11		871		293		196		356		402		9574		346		
	12		904		288		196		355		320		9337		298		
	13		895		288		195		355		331		8956		317		
	14		911		288		197		359		362		9056		237		
	15		902		286		196		358		366		8401		220		
	16		897		286		196		360		579		7773		66		
	17		912		297		195		373		716		6749		15		
	18		902		295		196		409		1442		5076		16		
	19		885		262		195		420		1718		2143		16		
	20		915		279		195		423		2348		372		16		
	21		914		294		198		425		2717		0		16		
	22		918		288		198		424		2563		0		16		
	23		920		285		197		382		2058		0		16		
	24		923		279		198		377		1511		0		15		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3718		2268		4435		8947		2643						
	2		3447		2270		3753		9517		2144						
	3		3294		2269		3581		9421		2003						
	4		3138		2270		3663		9293		1968						
	5		2962		2270		3828		9290		2264						
	6		2946		2270		4278		9317		2630						
	7		4382		2270		4856		8517		2251						
	8		7245		2269		4218		6805		2115						
	9		9882		2268		4304		4841		1899						
	10		11531		2268		4458		3777		1632						
	11		11955		2269		4640		3438		1754						
	12		11602		2268		5291		3821		1693						
	13		11250		2267		5395		4385		1808						
	14		11326		2267		5662		4938		1893						
	15		10664		2267		6497		5303		2252						
	16		10086		2267		7511		5355		2468						
	17		9236		2268		8953		5089		2820						
	18		8315		2270		9981		5601		3273						
	19		5753		2270		10989		6874		4057						
	20		4542		2270		11258		7360		4315						
	21		4560		2270		10470		8180		4341						
	22		4407		2270		9968		8301		3991						
	23		3890		2270		8284		9202		3534						
	24		3306		2271		7584		9119		2996						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
