01/14/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		685		328		219		169		2628		0		0		
	2		686		327		220		167		2764		0		0		
	3		687		325		220		167		2648		0		0		
	4		686		326		219		167		2834		0		0		
	5		687		331		219		166		2926		0		0		
	6		688		335		219		204		2988		0		0		
	7		689		348		217		218		3299		4		0		
	8		689		348		217		256		3232		1302		0		
	9		689		342		214		256		3149		5088		86		
	10		687		328		197		228		2961		6776		202		
	11		687		325		209		189		2970		6918		239		
	12		682		328		213		188		3145		7116		240		
	13		672		313		214		187		3395		6492		190		
	14		671		311		216		204		3430		6663		215		
	15		672		295		209		212		3460		6305		209		
	16		672		297		218		224		3383		4572		138		
	17		675		311		222		242		3471		994		17		
	18		676		308		225		329		3369		67		0		
	19		679		309		225		329		3321		0		0		
	20		684		310		227		292		3388		0		0		
	21		690		307		225		252		3485		0		0		
	22		691		307		222		224		3502		0		0		
	23		691		296		221		209		3618		0		0		
	24		692		291		221		173		3555		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4025		2278		6969		6310		1428						
	2		4159		2278		6751		5930		1177						
	3		4041		2277		6559		5845		1164						
	4		4228		2278		6379		5791		1169						
	5		4325		2277		6968		5630		1289						
	6		4429		2276		8050		5575		1853						
	7		4774		2276		9404		5929		2626						
	8		6044		2276		10144		5346		2516						
	9		9825		2276		8005		3727		1717						
	10		11380		2276		6550		2479		1444						
	11		11538		2277		6409		1834		1136						
	12		11912		2278		5863		1289		1118						
	13		11464		2278		5427		1893		1089						
	14		11710		2278		5299		1741		1177						
	15		11362		2277		5641		2123		1206						
	16		9504		2276		6797		3632		1364						
	17		5933		2275		8222		6189		2502						
	18		4973		2275		9785		7426		3270						
	19		4863		2276		10011		7986		3159						
	20		4866		2275		10152		7446		3156						
	21		4925		2275		10053		6933		3069						
	22		4911		2275		9545		6638		2572						
	23		5001		2274		8768		6197		1821						
	24		4897		2275		7990		5805		1410						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
