04/13/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		903		274		215		174		2863		0		0		
	2		902		270		214		173		3379		0		0		
	3		901		270		212		174		4473		0		0		
	4		902		267		199		184		4487		0		0		
	5		903		269		198		225		4519		0		0		
	6		912		264		198		231		3907		0		0		
	7		914		262		197		251		3436		310		0		
	8		916		262		196		251		3084		3505		20		
	9		908		260		192		240		2988		7260		286		
	10		914		240		193		199		2683		8956		337		
	11		899		245		194		177		2753		9489		359		
	12		893		245		192		208		2652		9637		364		
	13		889		242		194		153		2567		9916		356		
	14		888		231		193		161		2372		10374		312		
	15		857		225		194		177		2539		10434		357		
	16		834		237		193		188		2921		9967		366		
	17		860		258		194		197		2908		8866		364		
	18		888		251		195		223		3145		6863		314		
	19		888		261		196		261		3083		2471		133		
	20		880		269		196		263		3203		91		0		
	21		885		277		196		263		3469		0		0		
	22		912		280		196		255		3778		0		0		
	23		905		281		195		233		3832		0		0		
	24		908		283		195		219		3453		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4393		2261		5941		4475		1441						
	2		4905		2261		5760		3685		1310						
	3		5996		2260		4698		3113		1327						
	4		6003		2260		4651		2967		1401						
	5		6077		2261		4816		3000		1463						
	6		5473		2261		5444		3951		1560						
	7		5372		2260		5777		4805		1751						
	8		8235		2260		5309		3252		1627						
	9		12135		2260		4266		581		1493						
	10		13522		2260		3642		-526		1249						
	11		14117		2260		3106		-1050		1208						
	12		14192		2260		2948		-1065		1169						
	13		14317		2259		3097		-1242		1099						
	14		14532		2259		3072		-1338		1017						
	15		14783		2261		2998		-1604		993						
	16		14706		2263		3027		-1513		1060						
	17		13647		2263		3832		-1236		1366						
	18		11879		2263		4418		857		1382						
	19		7293		2262		6356		4405		1892						
	20		4902		2261		7984		5808		2596						
	21		5075		2261		8539		5754		2280						
	22		5405		2262		7271		5974		2109						
	23		5432		2263		6867		5125		1873						
	24		5043		2263		6711		4832		1305						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
