10/21/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		971		354		224		248		1246		0		0		
	2		971		346		224		244		1138		0		0		
	3		971		342		223		227		999		0		0		
	4		966		343		224		246		820		0		0		
	5		973		344		223		243		744		0		0		
	6		974		352		222		238		821		0		0		
	7		974		368		204		244		804		0		0		
	8		975		370		219		246		655		1146		0		
	9		964		372		221		231		598		5238		16		
	10		956		371		220		226		630		8168		171		
	11		961		369		221		207		737		8770		267		
	12		959		369		217		226		1021		8991		322		
	13		960		373		216		225		1316		9135		364		
	14		960		372		214		223		1474		9153		356		
	15		958		368		213		221		1455		9215		347		
	16		958		362		216		225		1441		8774		309		
	17		962		365		213		242		1265		6499		231		
	18		966		366		214		264		871		1946		56		
	19		970		366		213		278		786		9		0		
	20		971		374		218		278		716		0		0		
	21		971		377		218		256		775		0		0		
	22		973		363		218		243		520		0		0		
	23		972		346		217		242		532		0		0		
	24		973		339		218		241		471		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3001		1135		7952		6965		1296						
	2		2881		1135		7307		7126		1220						
	3		2722		1136		7329		6873		1215						
	4		2558		1136		7691		6521		1244						
	5		2487		1136		8125		6517		1422						
	6		2565		1136		9049		6605		1736						
	7		2556		1137		9729		7667		2409						
	8		3611		1138		9695		8110		2359						
	9		7640		1138		8408		6206		1654						
	10		10743		1138		6977		4890		1409						
	11		11531		1138		6858		4404		1370						
	12		12104		1137		7042		3934		1330						
	13		12589		1137		7129		3945		1223						
	14		12752		1136		8038		3681		1302						
	15		12777		1135		8471		4155		1493						
	16		12286		1134		9570		4617		1713						
	17		9777		1134		11309		5749		2449						
	18		4682		1135		14050		8105		2982						
	19		2622		1135		15679		8406		3221						
	20		2518		1133		15215		8644		3139						
	21		2559		1135		14249		8278		3007						
	22		2277		1135		13796		7829		2489						
	23		2270		1136		12460		7276		2210						
	24		2202		1137		10991		7139		1870						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
