01/01/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		650		301		230		209		798		0		0		
	2		648		302		231		209		1011		0		0		
	3		646		305		231		211		1027		0		0		
	4		644		300		231		210		931		0		0		
	5		644		300		232		209		1299		0		0		
	6		644		305		231		225		1049		0		0		
	7		644		291		231		233		780		0		0		
	8		645		282		231		234		983		1096		0		
	9		643		280		230		219		1351		4770		0		
	10		641		277		229		179		1393		6745		19		
	11		641		284		227		178		1765		6526		125		
	12		638		289		228		176		1877		6168		243		
	13		638		293		227		177		2710		5730		86		
	14		639		309		224		178		2903		5288		115		
	15		639		315		230		196		2955		5652		176		
	16		641		312		231		204		3168		3203		92		
	17		643		319		230		267		2989		598		0		
	18		644		322		231		270		2959		0		0		
	19		645		325		231		279		2834		0		0		
	20		647		325		231		281		3086		0		0		
	21		648		318		231		272		2884		0		0		
	22		648		319		231		237		3039		0		0		
	23		648		305		226		217		3354		0		0		
	24		650		301		230		211		3360		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2156		2273		7781		8262		1325						
	2		2368		2273		7505		7663		1226						
	3		2385		2273		6784		7832		1173						
	4		2280		2273		6507		7864		1187						
	5		2649		2272		5980		7807		1264						
	6		2419		2272		6116		7857		1592						
	7		2155		2273		6168		8328		1834						
	8		3469		2272		5408		7942		1704						
	9		7493		2272		4086		5546		1140						
	10		9483		2273		3734		3670		736						
	11		9745		2273		3415		3365		466						
	12		9618		2273		3416		2949		598						
	13		9859		2273		3461		2688		433						
	14		9656		2272		3562		2715		655						
	15		10162		2272		3923		2790		671						
	16		7850		2271		4601		5002		1276						
	17		5046		2271		5135		7568		2277						
	18		4401		2272		5522		9232		3225						
	19		4282		2272		5637		9602		3268						
	20		4538		2272		5772		9437		2873						
	21		4321		2273		6309		9092		2452						
	22		4441		2273		6426		8358		2069						
	23		4717		2274		5457		7994		1804						
	24		4720		2273		4954		7385		1591						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
