12/03/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		741		245		211		240		754		0		0		
	2		741		255		210		203		748		0		0		
	3		741		254		211		223		788		0		0		
	4		741		254		211		271		784		0		0		
	5		741		251		211		300		659		0		0		
	6		741		246		210		316		539		0		0		
	7		740		252		210		317		520		0		0		
	8		740		251		210		329		522		608		0		
	9		737		254		209		333		437		1668		0		
	10		730		254		209		269		370		2417		0		
	11		735		254		208		259		348		2833		0		
	12		735		257		209		258		299		3133		0		
	13		735		262		208		229		248		2532		0		
	14		734		284		210		240		238		1768		0		
	15		733		303		206		277		176		992		0		
	16		732		303		206		308		211		373		0		
	17		734		308		208		350		260		0		0		
	18		735		300		210		378		323		0		0		
	19		735		304		209		380		458		0		0		
	20		735		301		209		380		560		0		0		
	21		734		297		209		342		620		0		0		
	22		735		305		209		335		720		0		0		
	23		736		296		209		313		834		0		0		
	24		737		293		209		248		707		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2155		1128		9547		7272		1622						
	2		2123		1129		9155		7161		1412						
	3		2182		1129		8753		7042		1307						
	4		2225		1130		8587		6852		1361						
	5		2126		1129		8939		6719		1738						
	6		2014		1130		9760		7205		2090						
	7		2035		1130		11122		8145		2308						
	8		2658		1129		11559		8377		2281						
	9		3639		1129		11255		7789		2068						
	10		4248		1129		11407		6949		1919						
	11		4637		1129		11314		6665		1622						
	12		4891		1129		11383		6491		1371						
	13		4214		1129		11659		6936		1351						
	14		3474		1128		11981		7363		1682						
	15		2688		1129		12422		7947		1722						
	16		2133		1129		12787		8283		2058						
	17		1844		1129		13101		8437		2944						
	18		1908		1128		14014		8885		3124						
	19		2047		1128		13101		9385		3414						
	20		2145		1129		12477		9416		3485						
	21		2162		1128		12414		8960		3123						
	22		2264		1128		11420		8872		2753						
	23		2348		1128		10256		8561		2131						
	24		2153		1129		9504		7919		1829						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
