01/11/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		671		333		217		204		1524		0		0		
	2		672		331		217		212		1533		0		0		
	3		672		327		218		213		2164		0		0		
	4		673		329		218		210		2308		0		0		
	5		674		333		218		212		2212		0		0		
	6		674		340		218		211		2246		0		0		
	7		673		350		214		219		2459		0		0		
	8		674		350		217		215		2688		1298		0		
	9		674		347		218		201		3073		5056		146		
	10		674		341		217		149		3267		6587		229		
	11		673		333		218		148		3492		6520		183		
	12		673		328		218		151		3277		6106		233		
	13		672		330		220		148		3540		5728		242		
	14		673		329		220		150		3697		5490		234		
	15		673		331		220		149		3775		5566		199		
	16		673		334		221		148		3580		4162		110		
	17		672		344		220		210		3441		833		5		
	18		673		346		222		276		3321		3		0		
	19		673		339		223		282		3211		1		0		
	20		674		347		224		273		3097		0		0		
	21		675		346		223		237		2910		0		0		
	22		675		344		223		213		3158		0		0		
	23		676		329		222		189		3289		0		0		
	24		676		316		222		141		2507		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2916		2273		7838		6840		1311						
	2		2932		2273		7391		6566		1184						
	3		3561		2274		6443		6324		1170						
	4		3704		2274		6049		6386		1127						
	5		3615		2274		5962		6634		1218						
	6		3655		2275		6150		6945		1387						
	7		3890		2276		6585		7368		1473						
	8		5443		2276		6260		6873		1383						
	9		9715		2277		4087		5012		1092						
	10		11464		2276		3266		3911		793						
	11		11567		2276		3319		3396		421						
	12		10986		2276		3391		3310		371						
	13		10881		2275		3365		3106		257						
	14		10793		2275		3452		3014		305						
	15		10913		2275		3738		3074		371						
	16		9228		2274		4596		4297		776						
	17		5725		2272		6144		6354		2017						
	18		4841		2274		7232		7987		2723						
	19		4730		2274		6991		8723		2888						
	20		4603		2275		7579		8346		2496						
	21		4358		2274		7552		8174		2416						
	22		4580		2274		7711		7285		2170						
	23		4672		2275		6682		7477		1689						
	24		3830		2277		6698		7240		1448						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
