02/07/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		911		317		224		177		612		0		0		
	2		912		319		224		178		612		0		0		
	3		913		317		224		177		612		0		0		
	4		915		312		225		178		612		0		0		
	5		914		304		225		196		612		0		0		
	6		914		301		223		215		612		0		0		
	7		915		305		225		250		612		34		0		
	8		912		305		224		194		612		2608		19		
	9		909		305		224		185		612		7067		99		
	10		906		296		220		179		612		8720		196		
	11		905		284		223		181		612		8699		211		
	12		898		293		223		182		612		8710		211		
	13		893		296		223		178		612		8516		213		
	14		890		296		223		140		612		8869		213		
	15		898		296		223		139		612		8799		212		
	16		898		294		225		141		612		7526		193		
	17		899		311		227		196		612		3232		78		
	18		903		297		224		226		612		176		0		
	19		905		291		226		262		612		49		0		
	20		908		289		230		229		612		44		0		
	21		910		287		229		221		612		0		0		
	22		911		284		229		201		612		0		0		
	23		911		290		225		196		612		0		0		
	24		912		285		228		189		612		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2203		2276		6968		9265		1039						
	2		2207		2275		6205		9462		954						
	3		2206		2274		5960		9331		958						
	4		2204		2274		6073		9232		957						
	5		2213		2275		6819		9134		1080						
	6		2226		2275		8114		9220		1423						
	7		2341		2275		9676		9521		2080						
	8		4873		2276		8967		8861		1922						
	9		9400		2277		6858		6154		927						
	10		11129		2277		4941		4820		851						
	11		11114		2276		4039		4631		860						
	12		11129		2275		3573		4738		609						
	13		10931		2275		3333		4691		620						
	14		11243		2274		2886		4770		732						
	15		11179		2274		3319		4955		576						
	16		9889		2273		4377		5463		865						
	17		5556		2273		7310		7691		1360						
	18		2438		2273		9611		9601		2339						
	19		2345		2274		10519		9802		2463						
	20		2312		2274		10526		9491		2300						
	21		2225		2276		10327		9556		1758						
	22		2201		2273		10038		9333		1418						
	23		2196		2271		9020		9325		1085						
	24		2189		2270		7700		9440		899						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
