02/08/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		912		286		229		186		612		0		0		
	2		910		286		229		184		612		0		0		
	3		910		288		229		184		612		0		0		
	4		909		294		229		184		612		0		0		
	5		910		301		230		189		612		0		0		
	6		912		303		230		204		612		0		0		
	7		913		307		230		207		612		43		0		
	8		913		306		230		206		612		2672		11		
	9		912		306		229		179		612		7143		161		
	10		911		297		229		165		612		8341		211		
	11		908		288		231		139		612		7910		214		
	12		905		294		231		137		612		7591		212		
	13		904		295		230		137		612		7070		207		
	14		904		295		231		135		612		6739		205		
	15		903		296		230		133		612		7412		200		
	16		904		297		230		133		612		7185		171		
	17		905		302		230		165		612		3168		63		
	18		909		302		229		202		612		72		0		
	19		910		301		229		204		612		0		0		
	20		911		303		228		204		612		0		0		
	21		913		306		228		185		612		0		0		
	22		914		307		228		183		612		0		0		
	23		914		298		228		182		612		0		0		
	24		915		297		228		173		612		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2192		2269		6913		9379		923						
	2		2190		2269		6208		9478		858						
	3		2192		2271		5787		9404		846						
	4		2196		2271		5852		9097		863						
	5		2209		2270		6205		8918		877						
	6		2226		2272		6472		9083		1117						
	7		2313		2272		6860		9593		1199						
	8		4949		2272		5913		8418		1086						
	9		9543		2271		4225		5898		530						
	10		10767		2272		4257		4233		334						
	11		10303		2272		3992		3868		302						
	12		9981		2272		3695		3619		322						
	13		9456		2270		4148		3162		281						
	14		9122		2269		4347		3198		312						
	15		9786		2270		4358		3094		263						
	16		9532		2270		4958		3553		386						
	17		5445		2270		6339		6702		1213						
	18		2327		2270		7752		9834		2136						
	19		2219		2270		8445		10486		2272						
	20		2222		2271		8434		10511		1957						
	21		2207		2271		8114		10477		1858						
	22		2206		2270		8224		9930		1581						
	23		2196		2270		8200		9237		1079						
	24		2187		2271		7701		8550		975						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
